run_index,pattern,task_id,repeat,sdk_calls,total_duration,total_tokens_in,total_tokens_out,total_tokens,error
0,rr2,fact_01,0,2,36.8,883,1267,2150,False
1,rr2,fact_01,1,2,38.8,868,1220,2088,False
2,rr2,fact_01,2,2,38.4,850,1375,2225,False
3,rr2,fact_02,0,2,46.4,834,2113,2947,False
4,rr2,fact_02,1,2,40.099999999999994,862,1231,2093,False
5,rr2,fact_02,2,2,39.6,978,1119,2097,False
6,rr2,fact_03,0,2,44.5,1353,1811,3164,False
7,rr2,fact_03,1,2,51.5,1537,2613,4150,False
8,rr2,fact_03,2,2,47.5,1597,2068,3665,False
9,rr2,fact_04,0,2,38.8,1101,1541,2642,False
10,rr2,fact_04,1,2,42.7,1095,2167,3262,False
11,rr2,fact_04,2,2,44.4,1224,2257,3481,False
12,rr2,fact_05,0,2,47.7,1542,2477,4019,False
13,rr2,fact_05,1,2,46.2,2027,2472,4499,False
14,rr2,fact_05,2,2,45.1,1843,2181,4024,False
15,rr2,crea_01,0,2,58.2,1904,3359,5263,False
16,rr2,crea_01,1,2,64.0,2376,3798,6174,False
17,rr2,crea_01,2,2,62.2,1848,4012,5860,False
18,rr2,crea_02,0,2,42.099999999999994,882,1343,2225,False
19,rr2,crea_02,1,2,40.9,820,1177,1997,False
20,rr2,crea_02,2,2,42.2,786,1341,2127,False
21,rr2,crea_03,0,2,52.7,2087,2863,4950,False
22,rr2,crea_03,1,2,58.599999999999994,1696,3404,5100,False
23,rr2,crea_03,2,2,49.7,1661,2340,4001,False
24,rr2,crea_04,0,2,59.900000000000006,2189,3089,5278,False
25,rr2,crea_04,1,2,65.3,2054,3720,5774,False
26,rr2,crea_04,2,2,78.5,2513,4426,6939,False
27,rr2,crea_05,0,2,36.900000000000006,696,862,1558,False
28,rr2,crea_05,1,2,39.900000000000006,761,993,1754,False
29,rr2,crea_05,2,2,39.9,793,1246,2039,False
30,rr2,anal_01,0,2,56.0,1904,2885,4789,False
31,rr2,anal_01,1,2,43.0,1142,1627,2769,False
32,rr2,anal_01,2,2,44.6,1436,2111,3547,False
