experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp01,fact_01,rr2,0,A,2,Text 'TERMINATE' mentioned,36.79,883,1267,2150,3,2,keyword,,,
exp01,fact_01,rr2,1,A,2,Text 'TERMINATE' mentioned,38.8,868,1220,2088,3,2,keyword,,,
exp01,fact_01,rr2,2,A,2,Text 'TERMINATE' mentioned,38.34,850,1375,2225,3,2,keyword,,,
exp01,fact_02,rr2,0,A,2,Text 'TERMINATE' mentioned,46.37,834,2113,2947,3,2,keyword,,,
exp01,fact_02,rr2,1,A,2,Text 'TERMINATE' mentioned,40.12,862,1231,2093,3,2,keyword,,,
exp01,fact_02,rr2,2,A,2,Text 'TERMINATE' mentioned,39.6,978,1119,2097,3,2,keyword,,,
exp01,fact_03,rr2,0,A,2,Text 'TERMINATE' mentioned,44.51,1353,1811,3164,3,2,keyword,,,
exp01,fact_03,rr2,1,A,2,Text 'TERMINATE' mentioned,51.49,1537,2613,4150,3,2,keyword,,,
exp01,fact_03,rr2,2,A,2,Text 'TERMINATE' mentioned,47.55,1597,2068,3665,3,2,keyword,,,
exp01,fact_04,rr2,0,A,2,Text 'TERMINATE' mentioned,38.76,1101,1541,2642,3,2,keyword,,,
exp01,fact_04,rr2,1,A,2,Text 'TERMINATE' mentioned,42.63,1095,2167,3262,3,2,keyword,,,
exp01,fact_04,rr2,2,A,2,Text 'TERMINATE' mentioned,44.41,1224,2257,3481,3,2,keyword,,,
exp01,fact_05,rr2,0,A,2,Text 'TERMINATE' mentioned,47.69,1542,2477,4019,3,2,keyword,,,
exp01,fact_05,rr2,1,A,2,Text 'TERMINATE' mentioned,46.25,2027,2472,4499,3,2,keyword,,,
exp01,fact_05,rr2,2,A,2,Text 'TERMINATE' mentioned,45.1,1843,2181,4024,3,2,keyword,,,
exp01,crea_01,rr2,0,A,2,Text 'TERMINATE' mentioned,58.22,1904,3359,5263,3,2,keyword,,,
