experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp01,fact_01,moa,0,D,4,"Maximum number of messages 2 reached, current message count: 2",77.88,7262,8638,15900,11,7,max_messages,,,
exp01,fact_01,moa,1,D,4,"Maximum number of messages 2 reached, current message count: 2",72.14,6211,8066,14277,11,7,max_messages,,,
exp01,fact_01,moa,2,D,4,"Maximum number of messages 2 reached, current message count: 2",76.68,6555,8986,15541,11,7,max_messages,,,
exp01,fact_02,moa,0,D,4,"Maximum number of messages 2 reached, current message count: 2",75.02,5624,7013,12637,11,7,max_messages,,,
exp01,fact_02,moa,1,D,4,"Maximum number of messages 2 reached, current message count: 2",62.35,5410,6107,11517,11,7,max_messages,,,
exp01,fact_02,moa,2,D,4,"Maximum number of messages 2 reached, current message count: 2",72.75,5923,7818,13741,11,7,max_messages,,,
exp01,fact_03,moa,0,D,4,"Maximum number of messages 2 reached, current message count: 2",86.96,4608,9979,14587,11,7,max_messages,,,
exp01,fact_03,moa,1,D,4,"Maximum number of messages 2 reached, current message count: 2",81.48,4312,10490,14802,11,7,max_messages,,,
exp01,fact_03,moa,2,D,4,"Maximum number of messages 2 reached, current message count: 2",82.98,4458,13479,17937,11,7,max_messages,,,
exp01,fact_04,moa,0,D,4,"Maximum number of messages 2 reached, current message count: 2",68.8,7020,8082,15102,11,7,max_messages,,,
exp01,fact_04,moa,1,D,4,"Maximum number of messages 2 reached, current message count: 2",89.86,3518,10753,14271,11,7,max_messages,,,
exp01,fact_04,moa,2,D,4,"Maximum number of messages 2 reached, current message count: 2",74.89,7800,9215,17015,11,7,max_messages,,,
exp01,fact_05,moa,0,D,4,"Maximum number of messages 2 reached, current message count: 2",77.58,4669,11597,16266,11,7,max_messages,,,
exp01,fact_05,moa,1,D,4,"Maximum number of messages 2 reached, current message count: 2",85.1,4286,12256,16542,11,7,max_messages,,,
exp01,fact_05,moa,2,D,4,"Maximum number of messages 2 reached, current message count: 2",79.19,4355,11463,15818,11,7,max_messages,,,
exp01,crea_01,moa,0,D,4,"Maximum number of messages 2 reached, current message count: 2",138.39,7788,20590,28378,11,7,max_messages,,,
exp01,crea_01,moa,1,D,4,"Maximum number of messages 2 reached, current message count: 2",144.11,6189,20313,26502,11,7,max_messages,,,
exp01,crea_01,moa,2,D,4,"Maximum number of messages 2 reached, current message count: 2",169.98,6915,21486,28401,11,7,max_messages,,,
exp01,crea_02,moa,0,D,4,"Maximum number of messages 2 reached, current message count: 2",57.06,4576,5181,9757,11,7,max_messages,,,
exp01,crea_02,moa,1,D,4,"Maximum number of messages 2 reached, current message count: 2",51.97,4481,4478,8959,11,7,max_messages,,,
exp01,crea_02,moa,2,D,4,"Maximum number of messages 2 reached, current message count: 2",55.93,4598,5196,9794,11,7,max_messages,,,
exp01,crea_03,moa,0,D,4,"Maximum number of messages 2 reached, current message count: 2",111.75,4725,15978,20703,11,7,max_messages,,,
exp01,crea_03,moa,1,D,4,"Maximum number of messages 2 reached, current message count: 2",106.64,4603,13733,18336,11,7,max_messages,,,
exp01,crea_03,moa,2,D,4,"Maximum number of messages 2 reached, current message count: 2",125.26,5414,16046,21460,11,7,max_messages,,,
exp01,crea_04,moa,0,D,4,"Maximum number of messages 2 reached, current message count: 2",120.46,6228,15383,21611,11,7,max_messages,,,
