pattern,pattern_category,task_id,turn_index,quality,delta_q,tokens_kT,delta_c,cumul_cost_kT,lambda,delta_u,U_t
debate3,C,anal_01,1,4.0,4.0,0.915,0.915,0.915,0.0,4.0,4.0
debate3,C,anal_01,2,4.0,0.0,2.215,2.215,3.13,0.0,0.0,4.0
debate3,C,anal_01,3,4.0,0.0,3.139,3.139,6.269,0.0,0.0,4.0
debate3,C,anal_01,1,4.0,4.0,0.915,0.915,0.915,0.05,3.95425,3.95425
debate3,C,anal_01,2,4.0,0.0,2.215,2.215,3.13,0.05,-0.11075,3.8435
debate3,C,anal_01,3,4.0,0.0,3.139,3.139,6.269,0.05,-0.15695,3.68655
debate3,C,anal_01,1,4.0,4.0,0.915,0.915,0.915,0.1,3.9085,3.9085
debate3,C,anal_01,2,4.0,0.0,2.215,2.215,3.13,0.1,-0.2215,3.687
debate3,C,anal_01,3,4.0,0.0,3.139,3.139,6.269,0.1,-0.3139,3.3731
debate3,C,anal_01,1,4.0,4.0,0.915,0.915,0.915,0.2,3.817,3.817
debate3,C,anal_01,2,4.0,0.0,2.215,2.215,3.13,0.2,-0.443,3.374
debate3,C,anal_01,3,4.0,0.0,3.139,3.139,6.269,0.2,-0.6278,2.7462
debate3,C,anal_01,1,4.0,4.0,0.915,0.915,0.915,0.5,3.5425,3.5425
debate3,C,anal_01,2,4.0,0.0,2.215,2.215,3.13,0.5,-1.1075,2.435
debate3,C,anal_01,3,4.0,0.0,3.139,3.139,6.269,0.5,-1.5695,0.8654999999999999
debate3,C,anal_02,1,3.0,3.0,1.088,1.088,1.088,0.0,3.0,3.0
debate3,C,anal_02,2,4.0,1.0,2.691,2.691,3.779,0.0,1.0,4.0
debate3,C,anal_02,3,4.0,0.0,3.989,3.989,7.768,0.0,0.0,4.0
debate3,C,anal_02,1,3.0,3.0,1.088,1.088,1.088,0.05,2.9455999999999998,2.9455999999999998
debate3,C,anal_02,2,4.0,1.0,2.691,2.691,3.779,0.05,0.86545,3.81105
debate3,C,anal_02,3,4.0,0.0,3.989,3.989,7.768,0.05,-0.19945000000000002,3.6116
debate3,C,anal_02,1,3.0,3.0,1.088,1.088,1.088,0.1,2.8912,2.8912
debate3,C,anal_02,2,4.0,1.0,2.691,2.691,3.779,0.1,0.7309,3.6221
debate3,C,anal_02,3,4.0,0.0,3.989,3.989,7.768,0.1,-0.39890000000000003,3.2232
debate3,C,anal_02,1,3.0,3.0,1.088,1.088,1.088,0.2,2.7824,2.7824
debate3,C,anal_02,2,4.0,1.0,2.691,2.691,3.779,0.2,0.4618,3.2442
debate3,C,anal_02,3,4.0,0.0,3.989,3.989,7.768,0.2,-0.7978000000000001,2.4463999999999997
debate3,C,anal_02,1,3.0,3.0,1.088,1.088,1.088,0.5,2.456,2.456
debate3,C,anal_02,2,4.0,1.0,2.691,2.691,3.779,0.5,-0.3454999999999999,2.1105
debate3,C,anal_02,3,4.0,0.0,3.989,3.989,7.768,0.5,-1.9945,0.1160000000000001
debate3,C,anal_03,1,4.0,4.0,0.709,0.709,0.709,0.0,4.0,4.0
debate3,C,anal_03,2,3.0,-1.0,1.539,1.539,2.2479999999999998,0.0,-1.0,3.0
debate3,C,anal_03,3,3.0,0.0,2.126,2.126,4.374,0.0,0.0,3.0
debate3,C,anal_03,1,4.0,4.0,0.709,0.709,0.709,0.05,3.96455,3.96455
debate3,C,anal_03,2,3.0,-1.0,1.539,1.539,2.2479999999999998,0.05,-1.07695,2.8876
debate3,C,anal_03,3,3.0,0.0,2.126,2.126,4.374,0.05,-0.1063,2.7813
debate3,C,anal_03,1,4.0,4.0,0.709,0.709,0.709,0.1,3.9291,3.9291
debate3,C,anal_03,2,3.0,-1.0,1.539,1.539,2.2479999999999998,0.1,-1.1539,2.7752
debate3,C,anal_03,3,3.0,0.0,2.126,2.126,4.374,0.1,-0.2126,2.5625999999999998
debate3,C,anal_03,1,4.0,4.0,0.709,0.709,0.709,0.2,3.8582,3.8582
debate3,C,anal_03,2,3.0,-1.0,1.539,1.539,2.2479999999999998,0.2,-1.3078,2.5504
debate3,C,anal_03,3,3.0,0.0,2.126,2.126,4.374,0.2,-0.4252,2.1252
debate3,C,anal_03,1,4.0,4.0,0.709,0.709,0.709,0.5,3.6455,3.6455
debate3,C,anal_03,2,3.0,-1.0,1.539,1.539,2.2479999999999998,0.5,-1.7694999999999999,1.8760000000000001
debate3,C,anal_03,3,3.0,0.0,2.126,2.126,4.374,0.5,-1.063,0.8130000000000002
debate3,C,anal_04,1,3.0,3.0,1.226,1.226,1.226,0.0,3.0,3.0
debate3,C,anal_04,2,4.0,1.0,3.221,3.221,4.447,0.0,1.0,4.0
debate3,C,anal_04,3,4.0,0.0,5.328,5.328,9.775,0.0,0.0,4.0
debate3,C,anal_04,1,3.0,3.0,1.226,1.226,1.226,0.05,2.9387,2.9387
debate3,C,anal_04,2,4.0,1.0,3.221,3.221,4.447,0.05,0.83895,3.77765
debate3,C,anal_04,3,4.0,0.0,5.328,5.328,9.775,0.05,-0.2664,3.51125
debate3,C,anal_04,1,3.0,3.0,1.226,1.226,1.226,0.1,2.8774,2.8774
debate3,C,anal_04,2,4.0,1.0,3.221,3.221,4.447,0.1,0.6779,3.5553
debate3,C,anal_04,3,4.0,0.0,5.328,5.328,9.775,0.1,-0.5328,3.0225
debate3,C,anal_04,1,3.0,3.0,1.226,1.226,1.226,0.2,2.7548,2.7548
debate3,C,anal_04,2,4.0,1.0,3.221,3.221,4.447,0.2,0.3557999999999999,3.1106
debate3,C,anal_04,3,4.0,0.0,5.328,5.328,9.775,0.2,-1.0656,2.045
debate3,C,anal_04,1,3.0,3.0,1.226,1.226,1.226,0.5,2.387,2.387
debate3,C,anal_04,2,4.0,1.0,3.221,3.221,4.447,0.5,-0.6105,1.7765
debate3,C,anal_04,3,4.0,0.0,5.328,5.328,9.775,0.5,-2.664,-0.8875000000000002
debate3,C,anal_05,1,3.0,3.0,0.702,0.702,0.702,0.0,3.0,3.0
debate3,C,anal_05,2,4.0,1.0,2.249,2.249,2.951,0.0,1.0,4.0
debate3,C,anal_05,3,3.0,-1.0,4.565,4.565,7.516,0.0,-1.0,3.0
debate3,C,anal_05,4,4.0,1.0,1.184,1.184,8.7,0.0,1.0,4.0
debate3,C,anal_05,1,3.0,3.0,0.702,0.702,0.702,0.05,2.9649,2.9649
debate3,C,anal_05,2,4.0,1.0,2.249,2.249,2.951,0.05,0.88755,3.85245
debate3,C,anal_05,3,3.0,-1.0,4.565,4.565,7.516,0.05,-1.22825,2.6242
debate3,C,anal_05,4,4.0,1.0,1.184,1.184,8.7,0.05,0.9408,3.565
debate3,C,anal_05,1,3.0,3.0,0.702,0.702,0.702,0.1,2.9298,2.9298
debate3,C,anal_05,2,4.0,1.0,2.249,2.249,2.951,0.1,0.7751,3.7049
debate3,C,anal_05,3,3.0,-1.0,4.565,4.565,7.516,0.1,-1.4565000000000001,2.2484
debate3,C,anal_05,4,4.0,1.0,1.184,1.184,8.7,0.1,0.8815999999999999,3.13
debate3,C,anal_05,1,3.0,3.0,0.702,0.702,0.702,0.2,2.8596,2.8596
debate3,C,anal_05,2,4.0,1.0,2.249,2.249,2.951,0.2,0.5502,3.4097999999999997
debate3,C,anal_05,3,3.0,-1.0,4.565,4.565,7.516,0.2,-1.9130000000000003,1.4968
debate3,C,anal_05,4,4.0,1.0,1.184,1.184,8.7,0.2,0.7632,2.26
debate3,C,anal_05,1,3.0,3.0,0.702,0.702,0.702,0.5,2.649,2.649
debate3,C,anal_05,2,4.0,1.0,2.249,2.249,2.951,0.5,-0.12450000000000006,2.5244999999999997
debate3,C,anal_05,3,3.0,-1.0,4.565,4.565,7.516,0.5,-3.2825,-0.758
debate3,C,anal_05,4,4.0,1.0,1.184,1.184,8.7,0.5,0.40800000000000003,-0.34999999999999964
debate3,C,crea_01,1,3.0,3.0,1.852,1.852,1.852,0.0,3.0,3.0
debate3,C,crea_01,2,4.0,1.0,4.602,4.602,6.454000000000001,0.0,1.0,4.0
debate3,C,crea_01,3,4.0,0.0,1.783,1.783,8.237,0.0,0.0,4.0
debate3,C,crea_01,1,3.0,3.0,1.852,1.852,1.852,0.05,2.9074,2.9074
debate3,C,crea_01,2,4.0,1.0,4.602,4.602,6.454000000000001,0.05,0.7699,3.6773
debate3,C,crea_01,3,4.0,0.0,1.783,1.783,8.237,0.05,-0.08915000000000001,3.5881499999999997
debate3,C,crea_01,1,3.0,3.0,1.852,1.852,1.852,0.1,2.8148,2.8148
debate3,C,crea_01,2,4.0,1.0,4.602,4.602,6.454000000000001,0.1,0.5398,3.3546
debate3,C,crea_01,3,4.0,0.0,1.783,1.783,8.237,0.1,-0.17830000000000001,3.1763
debate3,C,crea_01,1,3.0,3.0,1.852,1.852,1.852,0.2,2.6296,2.6296
debate3,C,crea_01,2,4.0,1.0,4.602,4.602,6.454000000000001,0.2,0.0795999999999999,2.7092
debate3,C,crea_01,3,4.0,0.0,1.783,1.783,8.237,0.2,-0.35660000000000003,2.3526
debate3,C,crea_01,1,3.0,3.0,1.852,1.852,1.852,0.5,2.074,2.074
debate3,C,crea_01,2,4.0,1.0,4.602,4.602,6.454000000000001,0.5,-1.3010000000000002,0.7729999999999997
debate3,C,crea_01,3,4.0,0.0,1.783,1.783,8.237,0.5,-0.8915,-0.11850000000000005
debate3,C,crea_02,1,4.0,4.0,0.694,0.694,0.694,0.0,4.0,4.0
debate3,C,crea_02,2,2.0,-2.0,1.496,1.496,2.19,0.0,-2.0,2.0
debate3,C,crea_02,3,2.0,0.0,2.868,2.868,5.058,0.0,0.0,2.0
debate3,C,crea_02,4,2.0,0.0,3.962,3.962,9.02,0.0,0.0,2.0
debate3,C,crea_02,1,4.0,4.0,0.694,0.694,0.694,0.05,3.9653,3.9653
debate3,C,crea_02,2,2.0,-2.0,1.496,1.496,2.19,0.05,-2.0748,1.8905
debate3,C,crea_02,3,2.0,0.0,2.868,2.868,5.058,0.05,-0.1434,1.7471
debate3,C,crea_02,4,2.0,0.0,3.962,3.962,9.02,0.05,-0.19810000000000003,1.549
debate3,C,crea_02,1,4.0,4.0,0.694,0.694,0.694,0.1,3.9306,3.9306
debate3,C,crea_02,2,2.0,-2.0,1.496,1.496,2.19,0.1,-2.1496,1.781
debate3,C,crea_02,3,2.0,0.0,2.868,2.868,5.058,0.1,-0.2868,1.4942
debate3,C,crea_02,4,2.0,0.0,3.962,3.962,9.02,0.1,-0.39620000000000005,1.0979999999999999
debate3,C,crea_02,1,4.0,4.0,0.694,0.694,0.694,0.2,3.8612,3.8612
debate3,C,crea_02,2,2.0,-2.0,1.496,1.496,2.19,0.2,-2.2992,1.562
debate3,C,crea_02,3,2.0,0.0,2.868,2.868,5.058,0.2,-0.5736,0.9884
debate3,C,crea_02,4,2.0,0.0,3.962,3.962,9.02,0.2,-0.7924000000000001,0.19599999999999995
debate3,C,crea_02,1,4.0,4.0,0.694,0.694,0.694,0.5,3.653,3.653
debate3,C,crea_02,2,2.0,-2.0,1.496,1.496,2.19,0.5,-2.748,0.905
debate3,C,crea_02,3,2.0,0.0,2.868,2.868,5.058,0.5,-1.434,-0.5289999999999999
debate3,C,crea_02,4,2.0,0.0,3.962,3.962,9.02,0.5,-1.981,-2.51
debate3,C,crea_03,1,4.0,4.0,1.179,1.179,1.179,0.0,4.0,4.0
