pattern,pattern_category,task_id,lambda,t_optimal,q_optimal,t_actual,q_actual,t_mu_zero,t_U_peak,U_peak,regret,q_loss
debate3,C,anal_01,0.0,1,4.0,3,4.0,2,1,4.0,2,0.0
debate3,C,anal_01,0.05,1,4.0,3,4.0,2,1,3.95425,2,0.0
debate3,C,anal_01,0.1,1,4.0,3,4.0,2,1,3.9085,2,0.0
debate3,C,anal_01,0.2,1,4.0,3,4.0,2,1,3.817,2,0.0
debate3,C,anal_01,0.5,1,4.0,3,4.0,2,1,3.5425,2,0.0
debate3,C,anal_02,0.0,2,4.0,3,4.0,3,2,4.0,1,0.0
debate3,C,anal_02,0.05,2,4.0,3,4.0,3,2,3.81105,1,0.0
debate3,C,anal_02,0.1,2,4.0,3,4.0,3,2,3.6221,1,0.0
debate3,C,anal_02,0.2,2,4.0,3,4.0,3,2,3.2442,1,0.0
debate3,C,anal_02,0.5,2,4.0,3,4.0,2,1,2.456,1,0.0
debate3,C,anal_03,0.0,1,4.0,3,3.0,2,1,4.0,2,1.0
debate3,C,anal_03,0.05,1,4.0,3,3.0,2,1,3.96455,2,1.0
debate3,C,anal_03,0.1,1,4.0,3,3.0,2,1,3.9291,2,1.0
debate3,C,anal_03,0.2,1,4.0,3,3.0,2,1,3.8582,2,1.0
debate3,C,anal_03,0.5,1,4.0,3,3.0,2,1,3.6455,2,1.0
debate3,C,anal_04,0.0,2,4.0,3,4.0,3,2,4.0,1,0.0
debate3,C,anal_04,0.05,2,4.0,3,4.0,3,2,3.77765,1,0.0
debate3,C,anal_04,0.1,2,4.0,3,4.0,3,2,3.5553,1,0.0
debate3,C,anal_04,0.2,2,4.0,3,4.0,3,2,3.1106,1,0.0
debate3,C,anal_04,0.5,2,4.0,3,4.0,2,1,2.387,1,0.0
debate3,C,anal_05,0.0,2,4.0,4,4.0,3,2,4.0,2,0.0
debate3,C,anal_05,0.05,2,4.0,4,4.0,3,2,3.85245,2,0.0
debate3,C,anal_05,0.1,2,4.0,4,4.0,3,2,3.7049,2,0.0
debate3,C,anal_05,0.2,2,4.0,4,4.0,3,2,3.4097999999999997,2,0.0
debate3,C,anal_05,0.5,2,4.0,4,4.0,2,1,2.649,2,0.0
debate3,C,crea_01,0.0,2,4.0,3,4.0,3,2,4.0,1,0.0
debate3,C,crea_01,0.05,2,4.0,3,4.0,3,2,3.6773,1,0.0
debate3,C,crea_01,0.1,2,4.0,3,4.0,3,2,3.3546,1,0.0
debate3,C,crea_01,0.2,2,4.0,3,4.0,3,2,2.7092,1,0.0
debate3,C,crea_01,0.5,2,4.0,3,4.0,2,1,2.074,1,0.0
debate3,C,crea_02,0.0,1,4.0,4,2.0,2,1,4.0,3,2.0
debate3,C,crea_02,0.05,1,4.0,4,2.0,2,1,3.9653,3,2.0
debate3,C,crea_02,0.1,1,4.0,4,2.0,2,1,3.9306,3,2.0
debate3,C,crea_02,0.2,1,4.0,4,2.0,2,1,3.8612,3,2.0
debate3,C,crea_02,0.5,1,4.0,4,2.0,2,1,3.653,3,2.0
debate3,C,crea_03,0.0,1,4.0,3,3.0,2,1,4.0,2,1.0
debate3,C,crea_03,0.05,1,4.0,3,3.0,2,1,3.94105,2,1.0
debate3,C,crea_03,0.1,1,4.0,3,3.0,2,1,3.8821,2,1.0
debate3,C,crea_03,0.2,1,4.0,3,3.0,2,1,3.7641999999999998,2,1.0
debate3,C,crea_03,0.5,1,4.0,3,3.0,2,1,3.4105,2,1.0
debate3,C,crea_04,0.0,1,4.0,4,3.0,2,1,4.0,3,1.0
debate3,C,crea_04,0.05,1,4.0,4,3.0,2,1,3.93275,3,1.0
debate3,C,crea_04,0.1,1,4.0,4,3.0,2,1,3.8655,3,1.0
debate3,C,crea_04,0.2,1,4.0,4,3.0,2,1,3.731,3,1.0
debate3,C,crea_04,0.5,1,4.0,4,3.0,2,1,3.3275,3,1.0
debate3,C,crea_05,0.0,1,5.0,4,4.0,2,1,5.0,3,1.0
debate3,C,crea_05,0.05,1,5.0,4,4.0,2,1,4.96005,3,1.0
debate3,C,crea_05,0.1,1,5.0,4,4.0,2,1,4.9201,3,1.0
debate3,C,crea_05,0.2,1,5.0,4,4.0,2,1,4.8402,3,1.0
debate3,C,crea_05,0.5,1,5.0,4,4.0,2,1,4.6005,3,1.0
debate3,C,fact_01,0.0,1,4.0,3,3.0,2,1,4.0,2,1.0
debate3,C,fact_01,0.05,1,4.0,3,3.0,2,1,3.95285,2,1.0
debate3,C,fact_01,0.1,1,4.0,3,3.0,2,1,3.9057,2,1.0
debate3,C,fact_01,0.2,1,4.0,3,3.0,2,1,3.8114,2,1.0
debate3,C,fact_01,0.5,1,4.0,3,3.0,2,1,3.5285,2,1.0
debate3,C,fact_02,0.0,1,5.0,4,3.0,2,1,5.0,3,2.0
debate3,C,fact_02,0.05,1,5.0,4,3.0,2,1,4.97065,3,2.0
debate3,C,fact_02,0.1,1,5.0,4,3.0,2,1,4.9413,3,2.0
debate3,C,fact_02,0.2,1,5.0,4,3.0,2,1,4.8826,3,2.0
debate3,C,fact_02,0.5,1,5.0,4,3.0,2,1,4.7065,3,2.0
debate3,C,fact_03,0.0,1,4.0,4,4.0,2,1,4.0,3,0.0
debate3,C,fact_03,0.05,1,4.0,4,4.0,2,1,3.944,3,0.0
debate3,C,fact_03,0.1,1,4.0,4,4.0,2,1,3.888,3,0.0
debate3,C,fact_03,0.2,1,4.0,4,4.0,2,1,3.776,3,0.0
debate3,C,fact_03,0.5,1,4.0,4,4.0,2,1,3.44,3,0.0
debate3,C,fact_04,0.0,1,5.0,3,4.0,2,1,5.0,2,1.0
debate3,C,fact_04,0.05,1,5.0,3,4.0,2,1,4.969,2,1.0
debate3,C,fact_04,0.1,1,5.0,3,4.0,2,1,4.938,2,1.0
debate3,C,fact_04,0.2,1,5.0,3,4.0,2,1,4.876,2,1.0
debate3,C,fact_04,0.5,1,5.0,3,4.0,2,1,4.69,2,1.0
debate3,C,fact_05,0.0,1,4.0,3,4.0,2,1,4.0,2,0.0
debate3,C,fact_05,0.05,1,4.0,3,4.0,2,1,3.9248,2,0.0
debate3,C,fact_05,0.1,1,4.0,3,4.0,2,1,3.8496,2,0.0
debate3,C,fact_05,0.2,1,4.0,3,4.0,2,1,3.6992,2,0.0
debate3,C,fact_05,0.5,1,4.0,3,4.0,2,1,3.248,2,0.0
debate3,C,tech_01,0.0,3,4.0,3,4.0,2,3,4.0,0,0.0
debate3,C,tech_01,0.05,3,4.0,3,4.0,2,3,3.5025,0,0.0
debate3,C,tech_01,0.1,3,4.0,3,4.0,2,3,3.005,0,0.0
debate3,C,tech_01,0.2,3,4.0,3,4.0,2,3,2.01,0,0.0
debate3,C,tech_01,0.5,3,4.0,3,4.0,2,1,-0.06499999999999995,0,0.0
debate3,C,tech_02,0.0,1,4.0,3,4.0,2,1,4.0,2,0.0
debate3,C,tech_02,0.05,1,4.0,3,4.0,2,1,3.81025,2,0.0
debate3,C,tech_02,0.1,1,4.0,3,4.0,2,1,3.6205,2,0.0
debate3,C,tech_02,0.2,1,4.0,3,4.0,2,1,3.241,2,0.0
debate3,C,tech_02,0.5,1,4.0,3,4.0,2,1,2.1025,2,0.0
debate3,C,tech_03,0.0,1,3.0,3,2.0,2,1,3.0,2,1.0
debate3,C,tech_03,0.05,1,3.0,3,2.0,2,1,2.89075,2,1.0
debate3,C,tech_03,0.1,1,3.0,3,2.0,2,1,2.7815,2,1.0
debate3,C,tech_03,0.2,1,3.0,3,2.0,2,1,2.5629999999999997,2,1.0
debate3,C,tech_03,0.5,1,3.0,3,2.0,2,1,1.9075,2,1.0
debate3,C,tech_04,0.0,1,3.0,3,2.0,2,1,3.0,2,1.0
debate3,C,tech_04,0.05,1,3.0,3,2.0,2,1,2.85595,2,1.0
debate3,C,tech_04,0.1,1,3.0,3,2.0,2,1,2.7119,2,1.0
debate3,C,tech_04,0.2,1,3.0,3,2.0,2,1,2.4238,2,1.0
debate3,C,tech_04,0.5,1,3.0,3,2.0,2,1,1.5595,2,1.0
debate3,C,tech_05,0.0,1,3.0,3,2.0,2,1,3.0,2,1.0
debate3,C,tech_05,0.05,1,3.0,3,2.0,2,1,2.5877,2,1.0
debate3,C,tech_05,0.1,1,3.0,3,2.0,2,1,2.1754,2,1.0
debate3,C,tech_05,0.2,1,3.0,3,2.0,2,1,1.3507999999999998,2,1.0
debate3,C,tech_05,0.5,1,3.0,3,2.0,2,1,-1.1230000000000002,2,1.0
refl2,C,anal_01,0.0,2,5.0,2,5.0,2,2,5.0,0,0.0
refl2,C,anal_01,0.05,2,5.0,2,5.0,2,2,4.85515,0,0.0
refl2,C,anal_01,0.1,2,5.0,2,5.0,2,2,4.7103,0,0.0
refl2,C,anal_01,0.2,2,5.0,2,5.0,2,2,4.4206,0,0.0
refl2,C,anal_01,0.5,2,5.0,2,5.0,2,2,3.5515,0,0.0
refl2,C,anal_02,0.0,2,5.0,2,5.0,2,2,5.0,0,0.0
refl2,C,anal_02,0.05,2,5.0,2,5.0,2,2,4.8512,0,0.0
refl2,C,anal_02,0.1,2,5.0,2,5.0,2,2,4.7024,0,0.0
refl2,C,anal_02,0.2,2,5.0,2,5.0,2,2,4.4048,0,0.0
refl2,C,anal_02,0.5,2,5.0,2,5.0,2,1,3.5495,0,0.0
refl2,C,anal_03,0.0,2,5.0,2,5.0,2,2,5.0,0,0.0
refl2,C,anal_03,0.05,2,5.0,2,5.0,2,2,4.8733,0,0.0
refl2,C,anal_03,0.1,2,5.0,2,5.0,2,2,4.7466,0,0.0
refl2,C,anal_03,0.2,2,5.0,2,5.0,2,2,4.4932,0,0.0
refl2,C,anal_03,0.5,2,5.0,2,5.0,2,2,3.733,0,0.0
refl2,C,anal_04,0.0,1,4.0,2,4.0,2,1,4.0,1,0.0
refl2,C,anal_04,0.05,1,4.0,2,4.0,2,1,3.9226,1,0.0
refl2,C,anal_04,0.1,1,4.0,2,4.0,2,1,3.8452,1,0.0
refl2,C,anal_04,0.2,1,4.0,2,4.0,2,1,3.6904,1,0.0
