pattern,pattern_category,task_id,task_category,turn_index,accuracy,completeness,coherence,usefulness,overall
rr3,A,fact_01,factual,1,5,4,5,5,5
rr3,A,fact_01,factual,2,5,4,5,5,5
rr3,A,fact_01,factual,3,5,5,5,5,5
rr3,A,fact_02,factual,1,5,4,5,5,5
rr3,A,fact_02,factual,2,5,4,3,4,4
rr3,A,fact_02,factual,3,5,4,3,4,4
rr3,A,fact_02,factual,4,5,4,4,5,4
rr3,A,fact_02,factual,5,5,4,4,5,4
rr3,A,fact_02,factual,6,5,4,3,4,4
rr3,A,fact_03,factual,1,5,3,5,5,4
rr3,A,fact_03,factual,2,5,4,4,5,4
rr3,A,fact_03,factual,3,5,4,4,5,5
rr3,A,fact_03,factual,4,5,4,5,5,5
rr3,A,fact_03,factual,5,5,4,5,5,5
rr3,A,fact_03,factual,6,5,4,4,5,5
rr3,A,fact_04,factual,1,5,4,5,5,5
rr3,A,fact_04,factual,2,5,5,4,5,5
rr3,A,fact_04,factual,3,5,5,4,5,5
rr3,A,fact_05,factual,1,5,3,5,5,4
rr3,A,fact_05,factual,2,5,4,5,5,5
rr3,A,fact_05,factual,3,5,4,5,5,5
rr3,A,crea_01,creative,1,4,3,5,4,4
rr3,A,crea_01,creative,2,4,3,4,4,4
rr3,A,crea_01,creative,3,4,3,4,4,4
rr3,A,crea_01,creative,4,4,3,4,4,4
rr3,A,crea_01,creative,5,4,3,4,4,4
rr3,A,crea_01,creative,6,4,3,4,4,4
rr3,A,crea_02,creative,1,5,3,5,4,4
rr3,A,crea_02,creative,2,4,3,4,3,3
rr3,A,crea_02,creative,3,5,5,5,5,5
rr3,A,crea_03,creative,1,4,3,5,5,4
rr3,A,crea_03,creative,2,4,3,4,5,4
rr3,A,crea_03,creative,3,4,3,4,5,4
rr3,A,crea_04,creative,1,4,3,5,5,4
rr3,A,crea_04,creative,2,4,4,4,5,4
rr3,A,crea_04,creative,3,4,4,3,4,4
rr3,A,crea_04,creative,4,4,4,3,4,4
rr3,A,crea_04,creative,5,4,4,3,4,4
rr3,A,crea_04,creative,6,4,4,3,5,4
rr3,A,crea_05,creative,1,5,4,5,5,5
rr3,A,crea_05,creative,2,5,3,4,5,4
rr3,A,crea_05,creative,3,5,4,5,5,5
rr3,A,anal_01,analytical,1,4,3,4,4,4
rr3,A,anal_01,analytical,2,4,4,4,5,4
rr3,A,anal_01,analytical,3,4,4,4,5,4
rr3,A,anal_02,analytical,1,4,2,5,4,3
rr3,A,anal_02,analytical,2,4,3,4,4,4
rr3,A,anal_02,analytical,3,4,3,4,4,4
rr3,A,anal_02,analytical,4,4,3,4,4,4
rr3,A,anal_02,analytical,5,4,3,4,4,4
rr3,A,anal_02,analytical,6,4,3,4,4,4
rr3,A,anal_03,analytical,1,4,2,4,4,3
rr3,A,anal_03,analytical,2,4,3,4,4,4
rr3,A,anal_03,analytical,3,4,3,4,5,4
rr3,A,anal_04,analytical,1,4,2,4,4,3
rr3,A,anal_04,analytical,2,4,3,4,4,4
rr3,A,anal_04,analytical,3,4,3,4,4,4
rr3,A,anal_04,analytical,4,4,3,4,5,4
rr3,A,anal_04,analytical,5,4,3,4,4,4
rr3,A,anal_04,analytical,6,4,3,4,4,4
rr3,A,anal_05,analytical,1,5,3,5,5,4
rr3,A,anal_05,analytical,2,4,3,4,5,4
rr3,A,anal_05,analytical,3,4,3,4,5,4
rr3,A,tech_01,technical,1,4,2,4,3,3
rr3,A,tech_01,technical,2,4,3,4,4,4
rr3,A,tech_01,technical,3,4,3,4,4,4
rr3,A,tech_01,technical,4,4,3,4,4,4
rr3,A,tech_01,technical,5,4,3,4,4,4
rr3,A,tech_01,technical,6,4,3,4,4,4
rr3,A,tech_02,technical,1,4,3,4,4,4
rr3,A,tech_02,technical,2,5,4,5,5,5
rr3,A,tech_02,technical,3,5,4,5,5,5
rr3,A,tech_03,technical,1,5,2,5,3,3
rr3,A,tech_03,technical,2,5,3,4,4,4
rr3,A,tech_03,technical,3,5,4,5,5,5
rr3,A,tech_04,technical,1,5,3,5,4,4
rr3,A,tech_04,technical,2,4,3,4,4,4
rr3,A,tech_04,technical,3,4,3,4,4,4
rr3,A,tech_04,technical,4,4,3,4,4,4
rr3,A,tech_04,technical,5,4,3,4,4,4
rr3,A,tech_04,technical,6,4,3,4,4,4
rr3,A,tech_05,technical,1,5,2,5,4,3
rr3,A,tech_05,technical,2,5,4,5,5,5
rr3,A,tech_05,technical,3,5,4,5,5,5
sel3,B,fact_01,factual,1,5,3,5,5,4
sel3,B,fact_01,factual,2,3,2,2,3,2
sel3,B,fact_01,factual,3,3,2,2,3,2
sel3,B,fact_02,factual,1,4,4,4,3,4
sel3,B,fact_02,factual,2,4,4,4,4,4
sel3,B,fact_03,factual,1,5,3,5,5,4
sel3,B,fact_03,factual,2,4,3,2,3,3
sel3,B,fact_03,factual,3,3,2,2,2,2
sel3,B,fact_04,factual,1,5,4,5,5,5
sel3,B,fact_04,factual,2,5,5,5,5,5
sel3,B,fact_05,factual,1,5,3,5,5,4
sel3,B,fact_05,factual,2,4,3,3,4,4
sel3,B,fact_05,factual,3,4,3,3,4,3
sel3,B,crea_01,creative,1,4,3,5,4,4
sel3,B,crea_01,creative,2,4,3,4,4,4
sel3,B,crea_02,creative,1,5,2,5,3,3
sel3,B,crea_02,creative,2,5,5,5,5,5
sel3,B,crea_03,creative,1,4,3,5,5,4
sel3,B,crea_03,creative,2,4,3,3,4,4
sel3,B,crea_04,creative,1,4,3,5,5,4
sel3,B,crea_04,creative,2,4,3,4,4,4
sel3,B,crea_04,creative,3,4,3,4,4,4
sel3,B,crea_04,creative,4,4,3,4,4,4
sel3,B,crea_04,creative,5,4,3,4,4,4
sel3,B,crea_04,creative,6,4,3,4,4,4
sel3,B,crea_04,creative,7,4,3,4,4,4
sel3,B,crea_05,creative,1,5,4,5,5,5
sel3,B,crea_05,creative,2,5,5,5,5,5
sel3,B,anal_01,analytical,1,4,3,4,4,4
sel3,B,anal_01,analytical,2,4,4,4,5,4
sel3,B,anal_02,analytical,1,4,3,4,4,4
sel3,B,anal_02,analytical,2,4,3,4,4,4
sel3,B,anal_02,analytical,3,4,3,4,4,4
sel3,B,anal_03,analytical,1,4,3,5,5,4
sel3,B,anal_03,analytical,2,4,3,3,4,3
sel3,B,anal_04,analytical,1,4,2,4,4,3
sel3,B,anal_04,analytical,2,4,4,4,5,4
sel3,B,anal_05,analytical,1,5,3,5,5,4
sel3,B,anal_05,analytical,2,4,3,4,5,4
sel3,B,anal_05,analytical,3,4,3,4,5,4
sel3,B,tech_01,technical,1,4,2,5,4,3
sel3,B,tech_01,technical,2,3,2,2,2,2
sel3,B,tech_01,technical,3,3,2,2,2,2
sel3,B,tech_02,technical,1,4,2,4,4,3
sel3,B,tech_02,technical,2,4,3,3,4,3
sel3,B,tech_02,technical,3,4,3,3,4,3
sel3,B,tech_03,technical,1,4,2,4,3,3
sel3,B,tech_03,technical,2,3,2,2,2,2
sel3,B,tech_03,technical,3,3,2,2,2,2
sel3,B,tech_04,technical,1,4,2,4,3,3
sel3,B,tech_04,technical,2,3,2,2,2,2
sel3,B,tech_04,technical,3,3,2,2,2,2
sel3,B,tech_05,technical,1,5,2,5,4,3
sel3,B,tech_05,technical,2,3,2,2,3,2
sel3,B,tech_05,technical,3,3,2,2,3,2
refl2,C,fact_01,factual,1,5,3,5,5,4
refl2,C,fact_01,factual,2,5,4,5,5,5
refl2,C,fact_02,factual,1,5,3,4,4,4
refl2,C,fact_02,factual,2,5,4,5,5,5
refl2,C,fact_03,factual,1,5,3,5,5,4
refl2,C,fact_03,factual,2,4,4,5,5,4
refl2,C,fact_03,factual,3,4,4,5,5,4
refl2,C,fact_03,factual,4,4,4,5,5,4
refl2,C,fact_04,factual,1,5,4,5,5,5
refl2,C,fact_04,factual,2,5,5,5,5,5
refl2,C,fact_05,factual,1,5,3,5,5,4
refl2,C,fact_05,factual,2,5,5,5,5,5
refl2,C,crea_01,creative,1,4,3,5,4,4
refl2,C,crea_01,creative,2,4,4,5,5,4
refl2,C,crea_01,creative,3,4,4,5,5,4
refl2,C,crea_01,creative,4,4,4,5,5,4
refl2,C,crea_01,creative,5,4,4,5,4,4
refl2,C,crea_01,creative,6,4,4,5,4,4
refl2,C,crea_02,creative,1,5,3,5,4,4
refl2,C,crea_02,creative,2,5,5,5,5,5
refl2,C,crea_03,creative,1,5,3,5,5,4
refl2,C,crea_03,creative,2,5,4,5,5,5
refl2,C,crea_04,creative,1,4,3,5,5,4
refl2,C,crea_04,creative,2,4,4,5,5,4
refl2,C,crea_05,creative,1,5,5,5,5,5
refl2,C,crea_05,creative,2,5,4,5,5,5
refl2,C,anal_01,analytical,1,4,3,4,4,4
refl2,C,anal_01,analytical,2,5,5,5,5,5
refl2,C,anal_02,analytical,1,4,3,4,4,4
refl2,C,anal_02,analytical,2,5,4,5,5,5
refl2,C,anal_03,analytical,1,4,3,5,4,4
refl2,C,anal_03,analytical,2,5,4,5,5,5
refl2,C,anal_04,analytical,1,4,3,5,4,4
refl2,C,anal_04,analytical,2,4,3,5,5,4
refl2,C,anal_05,analytical,1,4,3,4,4,4
refl2,C,anal_05,analytical,2,5,4,5,5,5
refl2,C,tech_01,technical,1,5,2,5,4,3
refl2,C,tech_01,technical,2,5,4,5,5,5
refl2,C,tech_02,technical,1,5,2,5,4,3
refl2,C,tech_02,technical,2,5,5,5,5,5
refl2,C,tech_03,technical,1,5,3,5,4,4
refl2,C,tech_03,technical,2,5,4,5,5,5
refl2,C,tech_04,technical,1,4,2,4,3,3
refl2,C,tech_04,technical,2,5,5,5,5,5
refl2,C,tech_05,technical,1,5,2,5,3,3
refl2,C,tech_05,technical,2,5,4,5,5,5
debate3,C,fact_01,factual,1,5,3,5,5,4
debate3,C,fact_01,factual,2,4,2,3,3,3
debate3,C,fact_01,factual,3,4,2,3,4,3
debate3,C,fact_02,factual,1,5,4,5,5,5
debate3,C,fact_02,factual,2,4,3,3,4,4
