pattern,pattern_category,task_id,task_category,turn_index,accuracy,completeness,coherence,usefulness,overall
rr3,A,fact_01,factual,1,5,4,5,5,5
rr3,A,fact_01,factual,2,5,4,5,5,5
rr3,A,fact_01,factual,3,5,5,5,5,5
rr3,A,fact_02,factual,1,5,4,5,5,5
rr3,A,fact_02,factual,2,5,4,3,4,4
rr3,A,fact_02,factual,3,5,4,3,4,4
rr3,A,fact_02,factual,4,5,4,4,5,4
rr3,A,fact_02,factual,5,5,4,4,5,4
rr3,A,fact_02,factual,6,5,4,3,4,4
rr3,A,fact_03,factual,1,5,3,5,5,4
rr3,A,fact_03,factual,2,5,4,4,5,4
rr3,A,fact_03,factual,3,5,4,4,5,5
rr3,A,fact_03,factual,4,5,4,5,5,5
rr3,A,fact_03,factual,5,5,4,5,5,5
rr3,A,fact_03,factual,6,5,4,4,5,5
rr3,A,fact_04,factual,1,5,4,5,5,5
rr3,A,fact_04,factual,2,5,5,4,5,5
rr3,A,fact_04,factual,3,5,5,4,5,5
rr3,A,fact_05,factual,1,5,3,5,5,4
rr3,A,fact_05,factual,2,5,4,5,5,5
rr3,A,fact_05,factual,3,5,4,5,5,5
rr3,A,crea_01,creative,1,4,3,5,4,4
rr3,A,crea_01,creative,2,4,3,4,4,4
rr3,A,crea_01,creative,3,4,3,4,4,4
rr3,A,crea_01,creative,4,4,3,4,4,4
rr3,A,crea_01,creative,5,4,3,4,4,4
rr3,A,crea_01,creative,6,4,3,4,4,4
rr3,A,crea_02,creative,1,5,3,5,4,4
rr3,A,crea_02,creative,2,4,3,4,3,3
rr3,A,crea_02,creative,3,5,5,5,5,5
rr3,A,crea_03,creative,1,4,3,5,5,4
rr3,A,crea_03,creative,2,4,3,4,5,4
rr3,A,crea_03,creative,3,4,3,4,5,4
rr3,A,crea_04,creative,1,4,3,5,5,4
rr3,A,crea_04,creative,2,4,4,4,5,4
rr3,A,crea_04,creative,3,4,4,3,4,4
rr3,A,crea_04,creative,4,4,4,3,4,4
rr3,A,crea_04,creative,5,4,4,3,4,4
rr3,A,crea_04,creative,6,4,4,3,5,4
rr3,A,crea_05,creative,1,5,4,5,5,5
rr3,A,crea_05,creative,2,5,3,4,5,4
rr3,A,crea_05,creative,3,5,4,5,5,5
rr3,A,anal_01,analytical,1,4,3,4,4,4
rr3,A,anal_01,analytical,2,4,4,4,5,4
rr3,A,anal_01,analytical,3,4,4,4,5,4
rr3,A,anal_02,analytical,1,4,2,5,4,3
rr3,A,anal_02,analytical,2,4,3,4,4,4
rr3,A,anal_02,analytical,3,4,3,4,4,4
rr3,A,anal_02,analytical,4,4,3,4,4,4
rr3,A,anal_02,analytical,5,4,3,4,4,4
rr3,A,anal_02,analytical,6,4,3,4,4,4
rr3,A,anal_03,analytical,1,4,2,4,4,3
rr3,A,anal_03,analytical,2,4,3,4,4,4
rr3,A,anal_03,analytical,3,4,3,4,5,4
rr3,A,anal_04,analytical,1,4,2,4,4,3
rr3,A,anal_04,analytical,2,4,3,4,4,4
rr3,A,anal_04,analytical,3,4,3,4,4,4
rr3,A,anal_04,analytical,4,4,3,4,5,4
rr3,A,anal_04,analytical,5,4,3,4,4,4
rr3,A,anal_04,analytical,6,4,3,4,4,4
rr3,A,anal_05,analytical,1,5,3,5,5,4
rr3,A,anal_05,analytical,2,4,3,4,5,4
rr3,A,anal_05,analytical,3,4,3,4,5,4
rr3,A,tech_01,technical,1,4,2,4,3,3
rr3,A,tech_01,technical,2,4,3,4,4,4
rr3,A,tech_01,technical,3,4,3,4,4,4
rr3,A,tech_01,technical,4,4,3,4,4,4
rr3,A,tech_01,technical,5,4,3,4,4,4
rr3,A,tech_01,technical,6,4,3,4,4,4
rr3,A,tech_02,technical,1,4,3,4,4,4
rr3,A,tech_02,technical,2,5,4,5,5,5
rr3,A,tech_02,technical,3,5,4,5,5,5
rr3,A,tech_03,technical,1,5,2,5,3,3
rr3,A,tech_03,technical,2,5,3,4,4,4
rr3,A,tech_03,technical,3,5,4,5,5,5
rr3,A,tech_04,technical,1,5,3,5,4,4
rr3,A,tech_04,technical,2,4,3,4,4,4
rr3,A,tech_04,technical,3,4,3,4,4,4
rr3,A,tech_04,technical,4,4,3,4,4,4
rr3,A,tech_04,technical,5,4,3,4,4,4
rr3,A,tech_04,technical,6,4,3,4,4,4
rr3,A,tech_05,technical,1,5,2,5,4,3
rr3,A,tech_05,technical,2,5,4,5,5,5
rr3,A,tech_05,technical,3,5,4,5,5,5
sel3,B,fact_01,factual,1,5,3,5,5,4
sel3,B,fact_01,factual,2,3,2,2,3,2
sel3,B,fact_01,factual,3,3,2,2,3,2
sel3,B,fact_02,factual,1,4,4,4,3,4
sel3,B,fact_02,factual,2,4,4,4,4,4
sel3,B,fact_03,factual,1,5,3,5,5,4
sel3,B,fact_03,factual,2,4,3,2,3,3
sel3,B,fact_03,factual,3,3,2,2,2,2
sel3,B,fact_04,factual,1,5,4,5,5,5
sel3,B,fact_04,factual,2,5,5,5,5,5
sel3,B,fact_05,factual,1,5,3,5,5,4
sel3,B,fact_05,factual,2,4,3,3,4,4
sel3,B,fact_05,factual,3,4,3,3,4,3
sel3,B,crea_01,creative,1,4,3,5,4,4
sel3,B,crea_01,creative,2,4,3,4,4,4
sel3,B,crea_02,creative,1,5,2,5,3,3
sel3,B,crea_02,creative,2,5,5,5,5,5
sel3,B,crea_03,creative,1,4,3,5,5,4
sel3,B,crea_03,creative,2,4,3,3,4,4
sel3,B,crea_04,creative,1,4,3,5,5,4
sel3,B,crea_04,creative,2,4,3,4,4,4
sel3,B,crea_04,creative,3,4,3,4,4,4
sel3,B,crea_04,creative,4,4,3,4,4,4
sel3,B,crea_04,creative,5,4,3,4,4,4
sel3,B,crea_04,creative,6,4,3,4,4,4
sel3,B,crea_04,creative,7,4,3,4,4,4
sel3,B,crea_05,creative,1,5,4,5,5,5
sel3,B,crea_05,creative,2,5,5,5,5,5
sel3,B,anal_01,analytical,1,4,3,4,4,4
sel3,B,anal_01,analytical,2,4,4,4,5,4
sel3,B,anal_02,analytical,1,4,3,4,4,4
sel3,B,anal_02,analytical,2,4,3,4,4,4
sel3,B,anal_02,analytical,3,4,3,4,4,4
sel3,B,anal_03,analytical,1,4,3,5,5,4
sel3,B,anal_03,analytical,2,4,3,3,4,3
sel3,B,anal_04,analytical,1,4,2,4,4,3
sel3,B,anal_04,analytical,2,4,4,4,5,4
sel3,B,anal_05,analytical,1,5,3,5,5,4
sel3,B,anal_05,analytical,2,4,3,4,5,4
sel3,B,anal_05,analytical,3,4,3,4,5,4
sel3,B,tech_01,technical,1,4,2,5,4,3
sel3,B,tech_01,technical,2,3,2,2,2,2
sel3,B,tech_01,technical,3,3,2,2,2,2
sel3,B,tech_02,technical,1,4,2,4,4,3
sel3,B,tech_02,technical,2,4,3,3,4,3
sel3,B,tech_02,technical,3,4,3,3,4,3
sel3,B,tech_03,technical,1,4,2,4,3,3
sel3,B,tech_03,technical,2,3,2,2,2,2
sel3,B,tech_03,technical,3,3,2,2,2,2
sel3,B,tech_04,technical,1,4,2,4,3,3
sel3,B,tech_04,technical,2,3,2,2,2,2
sel3,B,tech_04,technical,3,3,2,2,2,2
sel3,B,tech_05,technical,1,5,2,5,4,3
sel3,B,tech_05,technical,2,3,2,2,3,2
sel3,B,tech_05,technical,3,3,2,2,3,2
swm3,B,fact_01,factual,1,1,1,1,1,1
swm3,B,fact_01,factual,2,1,1,1,1,1
swm3,B,fact_01,factual,3,1,1,1,1,1
swm3,B,fact_01,factual,4,1,1,1,1,1
swm3,B,fact_01,factual,5,1,1,1,1,1
swm3,B,fact_01,factual,6,1,1,1,1,1
swm3,B,fact_01,factual,7,1,1,1,1,1
swm3,B,fact_01,factual,8,1,1,1,1,1
swm3,B,fact_01,factual,9,1,1,1,1,1
swm3,B,fact_01,factual,10,1,1,1,1,1
swm3,B,fact_01,factual,11,1,1,1,1,1
swm3,B,fact_01,factual,12,1,1,1,1,1
swm3,B,fact_01,factual,13,1,1,1,1,1
swm3,B,fact_01,factual,14,1,1,1,1,1
swm3,B,fact_01,factual,15,1,1,1,1,1
swm3,B,fact_01,factual,16,1,1,1,1,1
swm3,B,fact_01,factual,17,1,1,1,1,1
swm3,B,fact_01,factual,18,1,1,1,1,1
swm3,B,fact_01,factual,19,1,1,1,1,1
swm3,B,fact_01,factual,20,1,1,1,1,1
swm3,B,fact_01,factual,21,1,1,1,1,1
swm3,B,fact_01,factual,22,1,1,1,1,1
swm3,B,fact_01,factual,23,1,1,1,1,1
swm3,B,fact_01,factual,24,1,1,1,1,1
swm3,B,fact_01,factual,25,1,1,1,1,1
swm3,B,fact_01,factual,26,1,1,1,1,1
swm3,B,fact_01,factual,27,1,1,1,1,1
swm3,B,fact_01,factual,28,1,1,1,1,1
swm3,B,fact_01,factual,29,1,1,1,1,1
swm3,B,fact_01,factual,30,1,1,1,1,1
swm3,B,fact_01,factual,31,1,1,1,1,1
swm3,B,fact_01,factual,32,1,1,1,1,1
swm3,B,fact_01,factual,33,1,1,1,1,1
swm3,B,fact_01,factual,34,1,1,1,1,1
swm3,B,fact_01,factual,35,1,1,1,1,1
swm3,B,fact_01,factual,36,1,1,1,1,1
swm3,B,fact_01,factual,37,1,1,1,1,1
swm3,B,fact_01,factual,38,1,1,1,1,1
swm3,B,fact_01,factual,39,1,1,1,1,1
swm3,B,fact_01,factual,40,1,1,1,1,1
swm3,B,fact_01,factual,41,1,1,1,1,1
swm3,B,fact_01,factual,42,1,1,1,1,1
swm3,B,fact_01,factual,43,1,1,1,1,1
swm3,B,fact_01,factual,44,1,1,1,1,1
swm3,B,fact_01,factual,45,1,1,1,1,1
swm3,B,fact_01,factual,46,1,1,1,1,1
swm3,B,fact_01,factual,47,1,1,1,1,1
swm3,B,fact_01,factual,48,1,1,1,1,1
swm3,B,fact_01,factual,49,1,1,1,1,1
swm3,B,fact_01,factual,50,1,1,1,1,1
swm3,B,fact_01,factual,51,1,1,1,1,1
