pattern,pattern_category,task_id,repeat_index,turn_pair,similarity,converged_at
rr2,A,fact_01,0,0,0.0,
rr2,A,fact_01,1,0,0.0,
rr2,A,fact_01,2,0,0.6783625730994152,
rr2,A,fact_02,0,0,0.011834319526627219,
rr2,A,fact_02,1,0,0.0,
rr2,A,fact_02,2,0,0.148014440433213,
rr2,A,fact_03,0,0,0.055248618784530384,
rr2,A,fact_03,1,0,0.20833333333333334,
rr2,A,fact_03,2,0,0.015463917525773196,
rr2,A,fact_04,0,0,0.5271739130434783,
rr2,A,fact_04,1,0,0.39805825242718446,
rr2,A,fact_04,2,0,0.05078125,
rr2,A,fact_05,0,0,0.057971014492753624,
rr2,A,fact_05,1,0,0.037267080745341616,
rr2,A,fact_05,2,0,0.29292929292929293,
rr2,A,crea_01,0,0,0.015723270440251572,
rr2,A,crea_01,1,0,0.14685314685314685,
rr2,A,crea_01,2,0,0.05226480836236934,
rr2,A,crea_02,0,0,0.025089605734767026,
rr2,A,crea_02,1,0,0.012244897959183673,
rr2,A,crea_02,2,0,0.02564102564102564,
rr2,A,crea_03,0,0,0.011278195488721804,
rr2,A,crea_03,1,0,0.027522935779816515,
rr2,A,crea_03,2,0,0.00398406374501992,
rr2,A,crea_04,0,0,0.12302839116719243,
rr2,A,crea_04,1,0,0.07643312101910828,
rr2,A,crea_04,2,0,0.21235521235521235,
rr2,A,crea_05,0,0,0.14334470989761092,
rr2,A,crea_05,1,0,0.12982456140350876,
rr2,A,crea_05,2,0,0.01282051282051282,
rr2,A,anal_01,0,0,0.007272727272727273,
rr2,A,anal_01,1,0,0.0,
rr2,A,anal_01,2,0,0.013392857142857142,
rr2,A,anal_02,0,0,0.19330855018587362,
rr2,A,anal_02,1,0,0.0,
rr2,A,anal_02,2,0,0.17279411764705882,
rr2,A,anal_03,0,0,0.20212765957446807,
rr2,A,anal_03,1,0,0.3412698412698413,
rr2,A,anal_03,2,0,0.2702702702702703,
rr2,A,anal_04,0,0,0.0034482758620689655,
rr2,A,anal_04,1,0,0.13186813186813187,
rr2,A,anal_04,2,0,0.13793103448275862,
rr2,A,anal_05,0,0,0.1652892561983471,
rr2,A,anal_05,1,0,0.032,
rr2,A,anal_05,2,0,0.1708185053380783,
rr2,A,tech_02,0,0,0.24561403508771928,
rr2,A,tech_02,1,0,0.12290502793296089,
rr2,A,tech_02,2,0,0.1407766990291262,
rr2,A,tech_03,0,0,0.2222222222222222,
rr2,A,tech_03,1,0,0.20134228187919462,
rr2,A,tech_03,2,0,0.14965986394557823,
