theta,pattern,category,n_runs,convergence_rate
0.8,rr3,A,25,24.0
0.8,sel3,B1,25,32.0
0.8,sel4,B1,25,44.0
0.8,swm3,B2,25,8.0
0.8,swm4,B2,25,24.0
0.8,refl2,C,25,8.0
0.8,debate3,C,25,12.0
0.8,pipe,D,25,36.0
0.85,rr3,A,25,16.0
0.85,sel3,B1,25,24.0
0.85,sel4,B1,25,28.000000000000004
0.85,swm3,B2,25,8.0
0.85,swm4,B2,25,16.0
0.85,refl2,C,25,0.0
0.85,debate3,C,25,0.0
0.85,pipe,D,25,32.0
0.9,rr3,A,25,8.0
0.9,sel3,B1,25,16.0
0.9,sel4,B1,25,12.0
0.9,swm3,B2,25,8.0
0.9,swm4,B2,25,12.0
0.9,refl2,C,25,0.0
0.9,debate3,C,25,0.0
0.9,pipe,D,25,8.0
