pattern,pattern_category,task_id,agent_count,has_error,error_type,error_text
rr3,A,sci_01,3,False,,
rr3,A,sci_02,3,False,,
rr3,A,sci_03,3,False,,
rr3,A,cs_01,3,False,,
rr3,A,cs_02,3,False,,
rr3,A,cs_03,3,False,,
rr3,A,hist_01,3,False,,
rr3,A,hist_02,3,False,,
rr3,A,hist_03,3,False,,
rr3,A,phil_01,3,False,,
rr3,A,phil_02,3,False,,
rr3,A,phil_03,3,False,,
rr3,A,law_01,3,False,,
rr3,A,law_02,3,False,,
rr3,A,law_03,3,False,,
rr3,A,game_01,3,False,,
rr3,A,game_02,3,False,,
rr3,A,game_03,3,False,,
rr3,A,eng_01,3,False,,
rr3,A,eng_02,3,False,,
rr3,A,eng_03,3,False,,
rr3,A,biz_01,3,False,,
rr3,A,biz_02,3,False,,
rr3,A,biz_03,3,False,,
rr3,A,med_01,3,False,,
sel3,B1,sci_01,3,False,,
sel3,B1,sci_02,3,False,,
sel3,B1,sci_03,3,False,,
sel3,B1,cs_01,3,False,,
sel3,B1,cs_02,3,False,,
sel3,B1,cs_03,3,False,,
sel3,B1,hist_01,3,False,,
sel3,B1,hist_02,3,False,,
sel3,B1,hist_03,3,False,,
sel3,B1,phil_01,3,False,,
sel3,B1,phil_02,3,False,,
sel3,B1,phil_03,3,False,,
sel3,B1,law_01,3,False,,
sel3,B1,law_02,3,False,,
sel3,B1,law_03,3,False,,
sel3,B1,game_01,3,False,,
sel3,B1,game_02,3,False,,
sel3,B1,game_03,3,False,,
sel3,B1,eng_01,3,False,,
sel3,B1,eng_02,3,False,,
sel3,B1,eng_03,3,False,,
sel3,B1,biz_01,3,False,,
sel3,B1,biz_02,3,False,,
sel3,B1,biz_03,3,False,,
sel3,B1,med_01,3,False,,
sel4,B1,sci_01,4,False,,
sel4,B1,sci_02,4,False,,
sel4,B1,sci_03,4,False,,
sel4,B1,cs_01,4,False,,
sel4,B1,cs_02,4,False,,
sel4,B1,cs_03,4,False,,
sel4,B1,hist_01,4,False,,
sel4,B1,hist_02,4,False,,
sel4,B1,hist_03,4,False,,
sel4,B1,phil_01,4,False,,
sel4,B1,phil_02,4,False,,
sel4,B1,phil_03,4,False,,
sel4,B1,law_01,4,False,,
sel4,B1,law_02,4,False,,
sel4,B1,law_03,4,False,,
sel4,B1,game_01,4,False,,
sel4,B1,game_02,4,False,,
sel4,B1,game_03,4,False,,
sel4,B1,eng_01,4,False,,
sel4,B1,eng_02,4,False,,
sel4,B1,eng_03,4,False,,
sel4,B1,biz_01,4,False,,
sel4,B1,biz_02,4,False,,
sel4,B1,biz_03,4,False,,
sel4,B1,med_01,4,False,,
swm3,B2,sci_01,3,True,keyword_miss,
swm3,B2,sci_02,3,False,,
swm3,B2,sci_03,3,False,,
swm3,B2,cs_01,3,True,keyword_miss,
swm3,B2,cs_02,3,False,,
swm3,B2,cs_03,3,False,,
swm3,B2,hist_01,3,False,,
swm3,B2,hist_02,3,False,,
swm3,B2,hist_03,3,False,,
swm3,B2,phil_01,3,False,,
swm3,B2,phil_02,3,False,,
swm3,B2,phil_03,3,False,,
swm3,B2,law_01,3,False,,
swm3,B2,law_02,3,False,,
swm3,B2,law_03,3,False,,
swm3,B2,game_01,3,False,,
swm3,B2,game_02,3,False,,
swm3,B2,game_03,3,False,,
swm3,B2,eng_01,3,True,keyword_miss,
swm3,B2,eng_02,3,False,,
swm3,B2,eng_03,3,False,,
swm3,B2,biz_01,3,False,,
swm3,B2,biz_02,3,True,keyword_miss,
swm3,B2,biz_03,3,False,,
swm3,B2,med_01,3,False,,
swm4,B2,sci_01,4,False,,
swm4,B2,sci_02,4,True,keyword_miss,
swm4,B2,sci_03,4,True,keyword_miss,
swm4,B2,cs_01,4,False,,
swm4,B2,cs_02,4,True,keyword_miss,
swm4,B2,cs_03,4,True,keyword_miss,
swm4,B2,hist_01,4,True,keyword_miss,
swm4,B2,hist_02,4,True,keyword_miss,
swm4,B2,hist_03,4,True,keyword_miss,
swm4,B2,phil_01,4,True,keyword_miss,
swm4,B2,phil_02,4,False,,
swm4,B2,phil_03,4,True,keyword_miss,
swm4,B2,law_01,4,True,keyword_miss,
swm4,B2,law_02,4,True,keyword_miss,
swm4,B2,law_03,4,True,keyword_miss,
swm4,B2,game_01,4,False,,
swm4,B2,game_02,4,True,keyword_miss,
swm4,B2,game_03,4,True,keyword_miss,
swm4,B2,eng_01,4,False,,
swm4,B2,eng_02,4,True,keyword_miss,
swm4,B2,eng_03,4,False,,
swm4,B2,biz_01,4,True,keyword_miss,
swm4,B2,biz_02,4,True,keyword_miss,
swm4,B2,biz_03,4,True,keyword_miss,
swm4,B2,med_01,4,True,keyword_miss,
refl2,C,sci_01,2,False,,
refl2,C,sci_02,2,False,,
refl2,C,sci_03,2,False,,
refl2,C,cs_01,2,False,,
refl2,C,cs_02,2,False,,
refl2,C,cs_03,2,False,,
refl2,C,hist_01,2,False,,
refl2,C,hist_02,2,False,,
refl2,C,hist_03,2,False,,
refl2,C,phil_01,2,False,,
refl2,C,phil_02,2,False,,
refl2,C,phil_03,2,False,,
refl2,C,law_01,2,False,,
refl2,C,law_02,2,False,,
refl2,C,law_03,2,False,,
refl2,C,game_01,2,False,,
refl2,C,game_02,2,False,,
refl2,C,game_03,2,False,,
refl2,C,eng_01,2,False,,
refl2,C,eng_02,2,False,,
refl2,C,eng_03,2,False,,
refl2,C,biz_01,2,False,,
refl2,C,biz_02,2,False,,
refl2,C,biz_03,2,False,,
refl2,C,med_01,2,False,,
debate3,C,sci_01,3,False,,
debate3,C,sci_02,3,False,,
debate3,C,sci_03,3,False,,
debate3,C,cs_01,3,False,,
debate3,C,cs_02,3,False,,
debate3,C,cs_03,3,False,,
debate3,C,hist_01,3,False,,
debate3,C,hist_02,3,False,,
debate3,C,hist_03,3,False,,
debate3,C,phil_01,3,False,,
debate3,C,phil_02,3,False,,
debate3,C,phil_03,3,False,,
debate3,C,law_01,3,False,,
debate3,C,law_02,3,False,,
debate3,C,law_03,3,False,,
debate3,C,game_01,3,False,,
debate3,C,game_02,3,False,,
debate3,C,game_03,3,False,,
debate3,C,eng_01,3,False,,
debate3,C,eng_02,3,False,,
debate3,C,eng_03,3,False,,
debate3,C,biz_01,3,False,,
debate3,C,biz_02,3,False,,
debate3,C,biz_03,3,False,,
debate3,C,med_01,3,False,,
pipe,D,sci_01,5,False,,
pipe,D,sci_02,5,False,,
pipe,D,sci_03,5,False,,
pipe,D,cs_01,5,False,,
pipe,D,cs_02,5,False,,
pipe,D,cs_03,5,False,,
pipe,D,hist_01,5,False,,
pipe,D,hist_02,5,False,,
pipe,D,hist_03,5,False,,
pipe,D,phil_01,5,False,,
pipe,D,phil_02,5,False,,
pipe,D,phil_03,5,False,,
pipe,D,law_01,5,False,,
pipe,D,law_02,5,False,,
pipe,D,law_03,5,False,,
pipe,D,game_01,5,False,,
pipe,D,game_02,5,False,,
pipe,D,game_03,5,False,,
pipe,D,eng_01,5,False,,
pipe,D,eng_02,5,False,,
pipe,D,eng_03,5,False,,
pipe,D,biz_01,5,False,,
pipe,D,biz_02,5,False,,
pipe,D,biz_03,5,False,,
pipe,D,med_01,5,False,,
rr3,A,fact_01,3,False,,
rr3,A,fact_02,3,False,,
rr3,A,fact_03,3,False,,
rr3,A,fact_04,3,False,,
rr3,A,fact_05,3,False,,
rr3,A,crea_01,3,False,,
rr3,A,crea_02,3,False,,
rr3,A,crea_03,3,False,,
rr3,A,crea_04,3,False,,
rr3,A,crea_05,3,False,,
rr3,A,anal_01,3,False,,
rr3,A,anal_02,3,False,,
rr3,A,anal_03,3,False,,
rr3,A,anal_04,3,False,,
rr3,A,anal_05,3,False,,
rr3,A,tech_01,3,False,,
rr3,A,tech_02,3,False,,
rr3,A,tech_03,3,False,,
rr3,A,tech_04,3,False,,
rr3,A,tech_05,3,False,,
sel3,B,fact_01,3,False,,
sel3,B,fact_02,3,False,,
sel3,B,fact_03,3,False,,
sel3,B,fact_04,3,False,,
sel3,B,fact_05,3,False,,
sel3,B,crea_01,3,False,,
sel3,B,crea_02,3,False,,
sel3,B,crea_03,3,False,,
sel3,B,crea_04,3,False,,
sel3,B,crea_05,3,False,,
sel3,B,anal_01,3,False,,
sel3,B,anal_02,3,False,,
sel3,B,anal_03,3,False,,
sel3,B,anal_04,3,False,,
sel3,B,anal_05,3,False,,
sel3,B,tech_01,3,False,,
sel3,B,tech_02,3,False,,
sel3,B,tech_03,3,False,,
sel3,B,tech_04,3,False,,
sel3,B,tech_05,3,False,,
refl2,C,fact_01,2,False,,
refl2,C,fact_02,2,False,,
refl2,C,fact_03,2,False,,
refl2,C,fact_04,2,False,,
refl2,C,fact_05,2,False,,
refl2,C,crea_01,2,False,,
refl2,C,crea_02,2,False,,
refl2,C,crea_03,2,False,,
refl2,C,crea_04,2,False,,
refl2,C,crea_05,2,False,,
refl2,C,anal_01,2,False,,
refl2,C,anal_02,2,False,,
refl2,C,anal_03,2,False,,
refl2,C,anal_04,2,False,,
refl2,C,anal_05,2,False,,
refl2,C,tech_01,2,False,,
refl2,C,tech_02,2,False,,
refl2,C,tech_03,2,False,,
refl2,C,tech_04,2,False,,
refl2,C,tech_05,2,False,,
debate3,C,fact_01,3,False,,
debate3,C,fact_02,3,False,,
debate3,C,fact_03,3,False,,
debate3,C,fact_04,3,False,,
debate3,C,fact_05,3,False,,
debate3,C,crea_01,3,False,,
debate3,C,crea_02,3,False,,
debate3,C,crea_03,3,False,,
debate3,C,crea_04,3,False,,
debate3,C,crea_05,3,False,,
debate3,C,anal_01,3,False,,
debate3,C,anal_02,3,False,,
debate3,C,anal_03,3,False,,
debate3,C,anal_04,3,False,,
debate3,C,anal_05,3,False,,
debate3,C,tech_01,3,False,,
debate3,C,tech_02,3,False,,
debate3,C,tech_03,3,False,,
debate3,C,tech_04,3,False,,
debate3,C,tech_05,3,False,,
swm3,B,fact_01,3,False,,
swm3,B,fact_02,3,False,,
swm3,B,fact_03,3,True,keyword_miss,
swm3,B,fact_04,3,False,,
swm3,B,fact_05,3,False,,
swm3,B,crea_01,3,False,,
swm3,B,crea_02,3,False,,
swm3,B,crea_03,3,False,,
swm3,B,crea_04,3,False,,
swm3,B,crea_05,3,False,,
swm3,B,anal_01,3,False,,
swm3,B,anal_02,3,False,,
swm3,B,anal_03,3,False,,
swm3,B,anal_04,3,False,,
swm3,B,anal_05,3,False,,
swm3,B,tech_01,3,False,,
swm3,B,tech_02,3,False,,
swm3,B,tech_03,3,False,,
swm3,B,tech_04,3,False,,
swm3,B,tech_05,3,False,,
