pattern,task_id,category,lambda_val,baseline_turns,adaptive_turns,turn_reduction,baseline_tokens,adaptive_tokens,cost_savings,stopped_by
rr3,sci_01,A,0.0,4,4,0.0,7937,5757,0.27466297089580444,
rr3,sci_02,A,0.0,4,4,0.0,10665,9122,0.14467885607126113,
rr3,sci_03,A,0.0,4,11,-1.75,7932,47151,-4.944402420574886,
rr3,cs_01,A,0.0,4,14,-2.5,6800,55763,-7.200441176470588,
rr3,cs_02,A,0.0,4,11,-1.75,11775,31253,-1.6541825902335456,
rr3,cs_03,A,0.0,4,16,-3.0,7892,25438,-2.2232640648758237,
rr3,hist_01,A,0.0,4,4,0.0,4162,4197,-0.008409418548774628,
rr3,hist_02,A,0.0,10,4,0.6,28718,5238,0.8176056828469949,
rr3,hist_03,A,0.0,7,5,0.2857142857142857,19712,16637,0.1559963474025974,
rr3,phil_01,A,0.0,4,12,-2.0,4135,36247,-7.76590084643289,
rr3,phil_02,A,0.0,4,16,-3.0,7829,42683,-4.451909566994508,
rr3,phil_03,A,0.0,4,6,-0.5,7860,19988,-1.543002544529262,
rr3,law_01,A,0.0,4,7,-0.75,6710,16526,-1.4628912071535023,
rr3,law_02,A,0.0,4,5,-0.25,11995,24798,-1.0673614005835765,
rr3,law_03,A,0.0,4,5,-0.25,10096,16403,-0.624702852614897,
rr3,game_01,A,0.0,4,4,0.0,8743,7108,0.18700674825574745,
rr3,game_02,A,0.0,4,9,-1.25,18053,58758,-2.2547499030632028,
rr3,game_03,A,0.0,4,12,-2.0,10042,100254,-8.983469428400717,
rr3,eng_01,A,0.0,4,6,-0.5,11450,16511,-0.44200873362445414,
rr3,eng_02,A,0.0,4,5,-0.25,10969,12583,-0.14714194548272405,
rr3,eng_03,A,0.0,7,13,-0.8571428571428571,20396,29674,-0.4548931162973132,
rr3,biz_01,A,0.0,4,6,-0.5,9934,17249,-0.7363599758405476,
rr3,biz_02,A,0.0,4,9,-1.25,9594,24835,-1.588597039816552,
rr3,biz_03,A,0.0,7,6,0.14285714285714285,26855,22330,0.16849748650158258,
rr3,med_01,A,0.0,4,15,-2.75,8402,59459,-6.076767436324684,
sel3,sci_01,B1,0.0,4,6,-0.5,4959,15301,-2.0855011090945754,
sel3,sci_02,B1,0.0,4,6,-0.5,10768,21262,-0.9745542347696879,
sel3,sci_03,B1,0.0,3,6,-1.0,4014,19697,-3.9070752366716492,
sel3,cs_01,B1,0.0,4,4,0.0,9006,8215,0.0878303353320009,
sel3,cs_02,B1,0.0,4,11,-1.75,9012,54771,-5.077563249001331,
sel3,cs_03,B1,0.0,4,4,0.0,12042,10910,0.09400431821956486,
sel3,hist_01,B1,0.0,3,9,-2.0,1492,19017,-11.745978552278821,
sel3,hist_02,B1,0.0,4,6,-0.5,4097,13406,-2.2721503539175005,
sel3,hist_03,B1,0.0,4,7,-0.75,9085,16718,-0.8401761144744083,
sel3,phil_01,B1,0.0,3,4,-0.3333333333333333,2251,3786,-0.6819191470457574,
sel3,phil_02,B1,0.0,4,4,0.0,8702,7709,0.1141116984601241,
sel3,phil_03,B1,0.0,5,7,-0.4,10536,20071,-0.9049924069855733,
sel3,law_01,B1,0.0,3,7,-1.3333333333333333,2016,17138,-7.500992063492063,
sel3,law_02,B1,0.0,3,7,-1.3333333333333333,5654,26550,-3.695790590732225,
sel3,law_03,B1,0.0,4,5,-0.25,12952,19555,-0.5098054354539839,
sel3,game_01,B1,0.0,3,5,-0.6666666666666666,3156,16310,-4.167934093789607,
sel3,game_02,B1,0.0,4,8,-1.0,14399,39306,-1.7297729008958955,
sel3,game_03,B1,0.0,4,5,-0.25,13176,15410,-0.16955069823922284,
sel3,eng_01,B1,0.0,4,7,-0.75,9135,27763,-2.039189928845101,
sel3,eng_02,B1,0.0,4,5,-0.25,14731,24476,-0.6615301065779648,
sel3,eng_03,B1,0.0,4,5,-0.25,9457,15319,-0.6198583060167072,
sel3,biz_01,B1,0.0,4,6,-0.5,9081,25217,-1.7768968175311088,
sel3,biz_02,B1,0.0,3,8,-1.6666666666666667,4138,25766,-5.226679555340744,
sel3,biz_03,B1,0.0,3,7,-1.3333333333333333,4629,25691,-4.550010801469,
sel3,med_01,B1,0.0,4,6,-0.5,9045,13884,-0.5349917081260365,
swm3,sci_01,B2,0.0,28,10,0.6428571428571429,6514,1932,0.7034080442124655,
swm3,sci_02,B2,0.0,5,11,-1.2,2755,17595,-5.386569872958257,
swm3,sci_03,B2,0.0,5,11,-1.2,1680,28442,-15.929761904761905,
swm3,cs_01,B2,0.0,28,10,0.6428571428571429,8151,1822,0.7764691448901975,
swm3,cs_02,B2,0.0,28,10,0.6428571428571429,9381,2684,0.7138897772092527,
swm3,cs_03,B2,0.0,5,10,-1.0,1945,2417,-0.24267352185089974,
swm3,hist_01,B2,0.0,5,7,-0.4,1705,4971,-1.9155425219941349,
swm3,hist_02,B2,0.0,5,13,-1.6,1399,25277,-17.067905646890637,
swm3,hist_03,B2,0.0,5,9,-0.8,1239,18472,-13.908797417271993,
swm3,phil_01,B2,0.0,5,19,-2.8,1300,25647,-18.728461538461538,
swm3,phil_02,B2,0.0,5,12,-1.4,2438,23990,-8.840032813781788,
swm3,phil_03,B2,0.0,5,10,-1.0,1812,25476,-13.059602649006623,
swm3,law_01,B2,0.0,5,14,-1.8,1910,16678,-7.731937172774869,
swm3,law_02,B2,0.0,5,8,-0.6,1943,22003,-10.324240864642306,
swm3,law_03,B2,0.0,5,9,-0.8,3056,23779,-6.781086387434555,
swm3,game_01,B2,0.0,5,12,-1.4,1906,25480,-12.368310598111227,
swm3,game_02,B2,0.0,5,8,-0.6,5210,30691,-4.890786948176584,
swm3,game_03,B2,0.0,5,8,-0.6,2248,14822,-5.593416370106762,
swm3,eng_01,B2,0.0,28,14,0.5,7017,29175,-3.1577597263787944,
swm3,eng_02,B2,0.0,28,10,0.6428571428571429,7439,2576,0.6537168974324506,
swm3,eng_03,B2,0.0,5,19,-2.8,2426,59112,-23.36603462489695,
