experiment_id,task_id,pattern,repeat_index,pattern_category,agent_count,stop_reason,duration_sec,total_tokens_in,total_tokens_out,total_tokens,turn_count,agent_turn_count,terminated_by,error,quality_score,converged_at
exp05_baseline,sci_01,rr3,0,A,3,Text 'TERMINATE' mentioned,60.42,4046,3891,7937,4,3,keyword,,,
exp05_baseline,sci_02,rr3,0,A,3,Text 'TERMINATE' mentioned,63.27,5919,4746,10665,4,3,keyword,,,
exp05_baseline,sci_03,rr3,0,A,3,Text 'TERMINATE' mentioned,59.51,3888,4044,7932,4,3,keyword,,,
exp05_baseline,cs_01,rr3,0,A,3,Text 'TERMINATE' mentioned,46.45,3897,2903,6800,4,3,keyword,,,
exp05_baseline,cs_02,rr3,0,A,3,Text 'TERMINATE' mentioned,77.47,4024,7751,11775,4,3,keyword,,,
exp05_baseline,cs_03,rr3,0,A,3,Text 'TERMINATE' mentioned,72.91,1781,6111,7892,4,3,keyword,,,
exp05_baseline,hist_01,rr3,0,A,3,Text 'TERMINATE' mentioned,37.59,2329,1833,4162,4,3,keyword,,,
exp05_baseline,hist_02,rr3,0,A,3,"Text 'TERMINATE' mentioned, Maximum number of messages 10 reached, current message count: 10",297.42,5482,23236,28718,10,9,keyword,,,
exp05_baseline,hist_03,rr3,0,A,3,Text 'TERMINATE' mentioned,195.05,4494,15218,19712,7,6,keyword,,,
exp05_baseline,phil_01,rr3,0,A,3,Text 'TERMINATE' mentioned,38.83,2414,1721,4135,4,3,keyword,,,
exp05_baseline,phil_02,rr3,0,A,3,Text 'TERMINATE' mentioned,72.6,2275,5554,7829,4,3,keyword,,,
exp05_baseline,phil_03,rr3,0,A,3,Text 'TERMINATE' mentioned,60.36,3815,4045,7860,4,3,keyword,,,
exp05_baseline,law_01,rr3,0,A,3,Text 'TERMINATE' mentioned,46.34,3775,2935,6710,4,3,keyword,,,
exp05_baseline,law_02,rr3,0,A,3,Text 'TERMINATE' mentioned,111.82,3002,8993,11995,4,3,keyword,,,
exp05_baseline,law_03,rr3,0,A,3,Text 'TERMINATE' mentioned,93.26,2716,7380,10096,4,3,keyword,,,
exp05_baseline,game_01,rr3,0,A,3,Text 'TERMINATE' mentioned,59.65,4512,4231,8743,4,3,keyword,,,
