target,feature,rf_importance,ridge_importance
total_tokens,pat_S,0.0,0.0
total_tokens,pat_A,0.0351,0.0787
total_tokens,pat_B1,0.0,0.0
total_tokens,pat_B2,0.0,0.0
total_tokens,pat_C,0.0509,0.0539
total_tokens,pat_D,0.1738,0.1742
total_tokens,agent_count,0.1334,0.4142
total_tokens,max_messages,0.1426,0.0394
total_tokens,task_analytical,0.0044,0.0369
total_tokens,task_creative,0.0155,0.0158
total_tokens,task_factual,0.0139,0.0547
total_tokens,task_technical,0.2728,0.1074
total_tokens,agents_x_maxmsg,0.1577,0.0248
turn_count,pat_S,0.0,0.0
turn_count,pat_A,0.0966,0.1889
turn_count,pat_B1,0.0,0.0
turn_count,pat_B2,0.0,0.0
turn_count,pat_C,0.1654,0.2119
turn_count,pat_D,0.0218,0.1377
turn_count,agent_count,0.2111,0.3212
turn_count,max_messages,0.1906,0.0391
turn_count,task_analytical,0.0348,0.0074
turn_count,task_creative,0.0089,0.0133
turn_count,task_factual,0.0533,0.0281
turn_count,task_technical,0.0367,0.034
turn_count,agents_x_maxmsg,0.1806,0.0184
duration_sec,pat_S,0.0,0.0
duration_sec,pat_A,0.0237,0.033
duration_sec,pat_B1,0.0,0.0
duration_sec,pat_B2,0.0,0.0
duration_sec,pat_C,0.1338,0.0965
duration_sec,pat_D,0.0108,0.2026
duration_sec,agent_count,0.1215,0.3404
duration_sec,max_messages,0.209,0.0934
duration_sec,task_analytical,0.0147,0.0294
duration_sec,task_creative,0.034,0.0219
duration_sec,task_factual,0.0849,0.0782
duration_sec,task_technical,0.0933,0.0858
duration_sec,agents_x_maxmsg,0.2742,0.0188
