model,difficulty,solo_mean,refl2_mean,delta,n_solo,n_refl2,U,p,cohen_d
Grok 3 Mini,easy,4.8,4.0,-0.8,5,5,4.5,0.0833,-1.35
Grok 3 Mini,medium,3.0,2.8,-0.2,5,5,10.0,0.4237,-0.63
Grok 3 Mini,hard,2.6,2.4,-0.2,5,5,10.0,0.6312,-0.37
GPT-4o-mini,easy,4.79,4.2,-0.59,14,15,49.0,0.0059,-1.18
GPT-4o-mini,medium,3.67,3.27,-0.4,15,15,73.0,0.0626,-0.74
GPT-4o-mini,hard,3.0,2.93,-0.07,15,15,106.0,0.7011,-0.16
Haiku 4.6,easy,4.73,4.67,-0.07,15,15,95.0,0.3395,-0.11
Haiku 4.6,medium,3.27,3.93,0.67,15,15,176.5,0.0032,1.26
Haiku 4.6,hard,3.67,3.47,-0.2,15,15,95.0,0.4455,-0.26
Gemini 2.0 Flash,easy,4.8,4.6,-0.2,5,5,10.0,0.6005,-0.4
Gemini 2.0 Flash,medium,3.4,3.6,0.2,5,5,15.0,0.6312,0.37
Gemini 2.0 Flash,hard,3.0,3.4,0.4,5,5,17.5,0.177,1.03
GPT-5.4,easy,5.0,5.0,0.0,5,5,12.5,1.0,0.0
GPT-5.4,medium,3.6,4.6,1.0,5,5,22.0,0.0413,1.83
GPT-5.4,hard,3.0,3.8,0.8,5,5,20.0,0.0707,1.35
Opus 4.6,easy,5.0,4.6,-0.4,5,5,7.5,0.177,-1.03
Opus 4.6,medium,4.2,4.4,0.2,5,5,15.5,0.5637,0.28
Opus 4.6,hard,3.0,3.6,0.6,5,5,17.5,0.2877,0.74
