task_id,pattern,repeat_index,accuracy,completeness,coherence,usefulness,overall,total_tokens,duration_sec
sci_easy,solo,0,5,5,5,5,5,411,17.11
sci_easy,solo,1,5,5,5,5,5,425,16.16
sci_easy,solo,2,5,5,5,5,5,377,16.89
sci_med,solo,0,3,2,4,3,3,625,18.7
sci_med,solo,1,3,2,4,4,3,643,18.16
sci_med,solo,2,3,2,4,4,3,597,19.06
sci_hard,solo,0,4,2,4,3,2,4076,48.77
sci_hard,solo,1,3,2,2,2,2,4356,49.94
sci_hard,solo,2,4,3,4,4,3,4405,52.5
cs_easy,solo,0,5,4,5,5,5,530,16.97
cs_easy,solo,1,4,3,4,4,3,658,18.48
cs_easy,solo,2,4,3,4,4,3,525,18.06
cs_med,solo,0,4,3,4,4,3,997,21.66
cs_med,solo,1,4,3,4,4,3,931,21.05
cs_med,solo,2,4,3,4,4,3,797,20.29
cs_hard,solo,0,5,3,5,4,3,15559,107.11
cs_hard,solo,1,5,3,5,4,3,14214,115.07
cs_hard,solo,2,5,3,5,4,3,12334,89.55
hist_easy,solo,0,5,5,5,5,5,339,15.85
hist_easy,solo,1,5,5,5,5,5,348,16.18
hist_easy,solo,2,5,5,5,5,5,360,16.66
hist_med,solo,0,4,2,3,3,3,705,19.44
hist_med,solo,1,4,3,4,3,3,741,21.04
hist_med,solo,2,4,3,4,3,3,540,18.11
hist_hard,solo,0,4,3,4,4,4,2143,37.3
hist_hard,solo,1,5,3,4,4,4,2489,41.15
hist_hard,solo,2,5,3,5,4,4,2330,38.6
eng_easy,solo,0,5,5,5,5,5,382,16.54
eng_easy,solo,1,5,5,5,5,5,397,16.8
eng_easy,solo,2,5,5,5,5,5,380,15.83
eng_med,solo,0,4,3,5,4,4,1756,26.71
eng_med,solo,1,4,3,5,4,4,1971,31.68
eng_med,solo,2,4,3,5,4,4,1533,26.21
eng_hard,solo,0,4,3,5,4,4,4146,51.94
eng_hard,solo,1,4,3,5,4,4,3117,42.74
eng_hard,solo,2,4,3,5,5,4,3554,49.0
biz_easy,solo,0,5,4,5,5,5,666,18.62
biz_easy,solo,1,5,4,5,5,5,693,19.43
biz_easy,solo,2,5,4,5,5,5,872,21.24
biz_med,solo,0,4,4,5,5,4,1320,27.14
biz_med,solo,1,4,3,4,4,3,1016,24.55
biz_med,solo,2,4,3,4,4,3,1309,26.71
biz_hard,solo,0,5,4,5,5,5,4295,59.45
biz_hard,solo,1,5,4,5,5,5,4439,58.17
biz_hard,solo,2,5,4,5,5,5,3745,49.64
sci_easy,swm3,0,5,4,5,4,4,1304,32.27
sci_easy,swm3,1,5,4,5,5,5,20582,149.12
sci_easy,swm3,2,5,5,5,4,4,1285,32.84
sci_med,swm3,0,5,5,5,5,5,8030,142.65
sci_med,swm3,1,4,2,4,4,3,8753,152.47
sci_med,swm3,2,3,2,4,4,3,1945,36.7
sci_hard,swm3,0,1,1,2,1,1,13407,153.21
sci_hard,swm3,1,3,3,4,3,3,10552,153.87
cs_easy,swm3,0,1,1,2,1,1,13940,154.04
cs_easy,swm3,1,5,4,5,5,5,1986,35.73
cs_med,swm3,0,5,4,5,4,4,2229,38.14
cs_med,swm3,1,5,4,5,5,5,2772,42.95
cs_med,swm3,2,5,3,4,4,4,2009,38.94
cs_hard,swm3,0,4,3,4,4,4,24710,255.42
cs_hard,swm3,1,5,4,5,5,5,29502,303.75
cs_hard,swm3,2,3,1,2,2,2,17358,164.35
hist_easy,swm3,0,5,5,5,5,5,19641,155.94
hist_easy,swm3,1,5,4,5,4,4,21940,158.85
hist_easy,swm3,2,5,5,5,5,5,1298,36.12
hist_med,swm3,0,5,5,5,5,5,1706,39.87
hist_med,swm3,1,4,2,3,3,3,1492,38.16
hist_med,swm3,2,5,5,5,5,5,1753,37.1
hist_hard,swm3,0,4,3,4,3,3,3494,54.34
hist_hard,swm3,1,4,3,4,3,3,3924,59.36
hist_hard,swm3,2,4,2,5,3,3,5163,69.93
eng_med,swm3,0,3,2,3,2,2,3163,50.09
eng_med,swm3,1,4,4,4,4,4,4734,77.13
eng_med,swm3,2,3,2,3,2,2,4481,89.9
eng_hard,swm3,0,4,3,4,4,3,5064,65.2
eng_hard,swm3,1,4,3,4,4,3,4749,69.0
eng_hard,swm3,2,4,3,4,4,3,4863,70.14
biz_easy,swm3,0,5,3,4,3,3,1648,35.56
biz_easy,swm3,1,5,2,4,3,3,1889,38.17
biz_easy,swm3,2,5,2,4,2,3,1695,40.12
biz_med,swm3,0,5,3,5,5,4,3468,53.47
biz_med,swm3,1,4,4,5,4,4,4297,58.1
biz_med,swm3,2,4,4,5,5,4,2501,43.31
biz_hard,swm3,0,4,3,4,4,3,10808,117.8
biz_hard,swm3,1,4,2,4,3,3,4202,64.78
biz_hard,swm3,2,4,3,4,4,3,6831,80.78
sci_easy,refl2,0,5,5,5,5,5,1443,39.73
sci_easy,refl2,1,5,5,5,5,5,1407,38.76
sci_easy,refl2,2,5,4,5,5,4,1382,37.22
sci_med,refl2,0,5,2,4,4,3,2270,41.45
sci_med,refl2,1,5,2,4,4,3,2237,41.05
sci_med,refl2,2,3,2,4,3,3,2267,40.21
sci_hard,refl2,0,4,3,4,4,4,9157,114.99
sci_hard,refl2,1,4,3,4,4,4,8548,106.91
sci_hard,refl2,2,4,3,5,4,4,9559,115.77
cs_easy,refl2,0,5,4,5,5,5,2552,40.51
cs_easy,refl2,1,5,4,5,5,5,2687,41.21
