task_id,pattern,repeat_index,accuracy,completeness,coherence,usefulness,overall,total_tokens,duration_sec
sci_easy,solo,0,5,5,5,5,5,435,24.4
sci_med,solo,0,5,4,5,5,5,589,26.73
sci_hard,solo,0,4,2,4,3,3,4437,121.26
cs_easy,solo,0,5,5,5,5,5,578,27.85
cs_med,solo,0,5,3,5,5,4,1043,41.63
cs_hard,solo,0,4,2,5,4,3,20129,266.34
hist_easy,solo,0,5,5,5,5,5,408,27.3
hist_med,solo,0,4,3,4,4,4,855,38.68
hist_hard,solo,0,4,2,4,3,3,2271,71.12
eng_easy,solo,0,5,5,5,5,5,445,27.4
eng_med,solo,0,5,3,5,5,4,1623,50.71
eng_hard,solo,0,4,2,4,4,3,3703,88.93
biz_easy,solo,0,5,4,5,5,5,891,34.89
biz_med,solo,0,4,3,4,4,4,1568,48.38
biz_hard,solo,0,4,2,4,4,3,3588,97.41
sci_med,swm3,0,5,4,5,5,5,5070,147.77
sci_hard,swm3,0,4,3,4,4,4,4613,101.36
cs_easy,swm3,0,5,5,3,4,4,9173,216.2
cs_med,swm3,0,5,3,5,5,4,2379,64.72
cs_hard,swm3,0,4,3,2,3,3,25043,347.52
hist_easy,swm3,0,5,5,5,5,5,1116,41.96
hist_med,swm3,0,4,2,4,4,3,2107,64.38
hist_hard,swm3,0,4,2,4,4,3,4211,106.32
eng_easy,swm3,0,5,5,3,5,4,8389,201.79
eng_med,swm3,0,4,3,4,4,4,10083,269.56
eng_hard,swm3,0,4,3,2,3,3,19344,378.57
biz_easy,swm3,0,5,3,5,5,4,1935,57.56
biz_med,swm3,0,4,2,4,3,3,2166,66.81
biz_hard,swm3,0,4,2,4,4,3,3871,99.03
sci_easy,refl2,0,4,4,5,5,4,1496,53.61
sci_med,refl2,0,5,4,5,5,5,2378,60.26
sci_hard,refl2,0,2,2,3,3,2,8706,196.53
cs_easy,refl2,0,5,5,5,5,5,1799,50.53
cs_med,refl2,0,5,4,5,5,5,3749,70.03
cs_hard,refl2,0,5,5,5,5,5,28114,377.56
hist_easy,refl2,0,5,5,5,5,5,1122,43.98
hist_med,refl2,0,3,2,4,4,3,2966,74.61
hist_hard,refl2,0,4,2,4,3,3,6350,180.34
eng_easy,refl2,0,5,4,5,4,4,1317,53.29
eng_med,refl2,0,4,3,5,4,4,5554,93.38
eng_hard,refl2,0,4,3,4,4,4,5706,144.69
biz_easy,refl2,0,5,4,5,5,5,2983,67.83
biz_med,refl2,0,5,5,5,5,5,3997,78.61
biz_hard,refl2,0,4,3,5,4,4,5828,159.12
sci_easy,sel3,0,5,5,5,5,5,1392,91.45
sci_med,sel3,0,4,2,3,4,3,8041,171.88
sci_hard,sel3,0,3,2,2,2,2,18353,385.61
cs_easy,sel3,0,5,3,4,4,4,7900,162.68
cs_med,sel3,0,4,3,4,4,4,13930,251.93
cs_hard,sel3,0,4,3,4,4,4,37255,564.7
hist_easy,sel3,0,5,5,3,4,4,4853,193.75
hist_med,sel3,0,4,3,3,4,3,4285,212.62
hist_hard,sel3,0,4,2,3,3,3,12950,365.64
eng_easy,sel3,0,5,5,5,5,5,1568,83.03
eng_med,sel3,0,4,3,4,4,4,11967,266.35
eng_hard,sel3,0,4,2,4,3,3,17970,431.7
biz_easy,sel3,0,5,4,5,5,5,6567,133.56
biz_med,sel3,0,4,3,4,4,4,9473,236.69
biz_hard,sel3,0,4,2,3,4,3,11841,299.64
sci_easy,debate3,0,4,3,2,3,3,10351,289.66
sci_med,debate3,0,4,2,3,3,3,10076,261.37
sci_hard,debate3,0,3,2,3,2,2,19936,432.07
cs_easy,debate3,0,4,4,3,4,4,11412,231.98
cs_med,debate3,0,4,3,4,4,4,13628,271.4
cs_hard,debate3,0,3,1,2,2,2,54805,882.23
hist_easy,debate3,0,4,4,4,4,4,10393,250.42
hist_med,debate3,0,4,2,3,3,3,11812,300.01
hist_hard,debate3,0,4,2,4,3,3,10609,373.04
eng_easy,debate3,0,4,4,3,4,4,10501,218.01
eng_med,debate3,0,4,2,3,2,2,11845,340.89
eng_hard,debate3,0,4,2,3,3,3,17045,493.29
biz_easy,debate3,0,4,3,3,4,4,13081,291.82
biz_med,debate3,0,4,2,4,3,3,11034,278.57
biz_hard,debate3,0,4,2,4,3,3,17736,455.33
