task_id,pattern,repeat_index,accuracy,completeness,coherence,usefulness,overall,total_tokens,duration_sec
sci_easy,solo,0,5,4,5,5,5,416,4.39
sci_med,solo,0,5,3,5,5,4,728,5.94
sci_hard,solo,0,4,2,4,3,3,1472,11.7
cs_easy,solo,0,5,4,5,5,5,635,5.24
cs_med,solo,0,4,2,4,3,3,1071,9.57
cs_hard,solo,0,4,2,4,3,3,1875,14.78
hist_easy,solo,0,5,5,5,5,5,240,2.4
hist_med,solo,0,4,2,4,3,3,1232,9.72
hist_hard,solo,0,4,2,4,3,3,1387,11.25
eng_easy,solo,0,5,5,5,5,5,454,3.93
eng_med,solo,0,5,3,5,4,4,1066,9.51
eng_hard,solo,0,4,2,4,3,3,1524,12.4
biz_easy,solo,0,5,3,5,4,4,933,7.24
biz_med,solo,0,4,2,4,3,3,1151,8.44
biz_hard,solo,0,4,2,4,4,3,1669,14.51
sci_easy,swm3,0,5,5,5,5,5,362,3.43
sci_med,swm3,0,5,3,5,4,4,670,5.68
sci_hard,swm3,0,4,2,4,3,3,10376,16.85
cs_easy,swm3,0,5,5,5,5,5,519,4.78
cs_med,swm3,0,5,3,5,4,4,866,7.03
cs_hard,swm3,0,3,2,2,2,2,14084,20.29
hist_easy,swm3,0,1,1,2,1,1,1143,8.25
hist_med,swm3,0,4,2,4,3,3,1059,8.81
hist_hard,swm3,0,4,2,4,3,3,1352,11.35
eng_easy,swm3,0,5,5,5,5,5,314,3.06
eng_med,swm3,0,4,2,4,3,3,8221,14.49
eng_hard,swm3,0,4,3,4,4,4,8525,16.28
biz_easy,swm3,0,5,3,5,4,4,930,7.18
biz_med,swm3,0,4,2,4,3,3,1012,7.89
biz_hard,swm3,0,4,2,4,3,3,1633,12.87
sci_easy,refl2,0,5,4,5,5,5,1585,9.73
sci_med,refl2,0,5,2,4,4,3,2343,13.22
sci_hard,refl2,0,4,3,4,4,4,4550,22.47
cs_easy,refl2,0,5,4,5,5,5,2194,10.54
cs_med,refl2,0,4,3,4,4,4,4112,22.38
cs_hard,refl2,0,4,2,4,3,3,6289,29.19
hist_easy,refl2,0,5,3,4,4,4,975,6.71
hist_med,refl2,0,4,3,4,4,4,3465,19.41
hist_hard,refl2,0,4,2,4,3,3,4767,24.48
eng_easy,refl2,0,5,4,5,5,5,1054,5.63
eng_med,refl2,0,4,2,3,3,3,4121,22.83
eng_hard,refl2,0,4,3,4,4,4,4882,25.12
biz_easy,refl2,0,5,3,4,4,4,3159,15.5
biz_med,refl2,0,4,3,4,4,4,3539,16.6
biz_hard,refl2,0,4,2,4,3,3,5233,27.78
sci_easy,sel3,0,5,3,4,4,4,6072,22.74
sci_med,sel3,0,4,2,2,3,2,8772,37.67
sci_hard,sel3,0,4,2,3,3,3,9660,34.81
cs_easy,sel3,0,5,3,4,4,4,11104,34.96
cs_med,sel3,0,5,3,4,4,4,10205,45.3
cs_hard,sel3,0,4,2,3,3,3,15189,62.91
hist_easy,sel3,0,3,2,2,2,2,4616,24.95
hist_med,sel3,0,4,2,4,3,3,7053,28.85
hist_hard,sel3,0,4,2,4,4,3,6574,25.41
eng_easy,sel3,0,5,2,4,4,3,9312,35.79
eng_med,sel3,0,5,3,5,4,4,8323,32.25
eng_hard,sel3,0,4,2,4,4,3,11198,43.27
biz_easy,sel3,0,5,3,4,4,4,10743,49.46
biz_med,sel3,0,4,3,4,4,4,7969,32.76
biz_hard,sel3,0,4,2,4,4,3,9586,34.12
sci_easy,debate3,0,4,3,4,4,4,13732,37.98
sci_med,debate3,0,3,1,2,2,2,13718,36.4
sci_hard,debate3,0,3,2,4,3,3,33562,80.23
cs_easy,debate3,0,4,2,3,3,3,12593,38.72
cs_med,debate3,0,4,2,3,3,3,12096,39.8
cs_hard,debate3,0,4,2,3,3,3,49603,100.46
hist_easy,debate3,0,4,2,3,3,3,18577,54.48
hist_med,debate3,0,4,2,4,3,3,26155,55.69
hist_hard,debate3,0,4,2,4,4,3,28396,65.0
eng_easy,debate3,0,4,2,3,3,3,9357,30.36
eng_med,debate3,0,4,2,4,3,3,19613,55.23
eng_hard,debate3,0,4,2,4,3,3,44516,98.32
biz_easy,debate3,0,3,2,2,2,2,17914,45.82
biz_med,debate3,0,4,2,4,3,3,19965,57.4
biz_hard,debate3,0,4,2,4,3,3,17725,45.55
