task_id,pattern,repeat_index,accuracy,completeness,coherence,usefulness,overall,total_tokens,duration_sec
sci_easy,solo,0,5,5,5,5,5,213,3.39
sci_easy,solo,1,5,5,5,5,5,286,5.49
sci_easy,solo,2,5,5,5,5,5,270,3.86
sci_med,solo,0,5,3,5,4,4,544,8.91
sci_med,solo,1,5,4,5,5,5,500,7.18
sci_med,solo,2,5,3,5,4,4,532,7.77
sci_hard,solo,0,3,2,3,3,3,912,13.42
sci_hard,solo,1,3,2,3,2,2,832,12.62
sci_hard,solo,2,3,2,3,2,2,807,12.85
cs_easy,solo,0,5,4,5,5,5,695,11.85
cs_easy,solo,1,5,4,5,5,5,647,9.09
cs_easy,solo,2,5,4,5,5,5,473,7.01
cs_med,solo,0,5,3,5,4,4,710,11.6
cs_med,solo,1,4,2,4,3,3,731,12.14
cs_med,solo,2,5,3,5,4,4,655,10.94
cs_hard,solo,0,4,2,4,3,3,1026,16.55
cs_hard,solo,1,4,2,4,3,3,905,14.99
cs_hard,solo,2,4,2,4,3,3,1012,16.6
hist_easy,solo,0,5,5,5,5,5,314,5.32
hist_easy,solo,1,5,5,5,5,5,322,5.02
hist_easy,solo,2,5,5,5,5,5,313,4.18
hist_med,solo,0,4,2,4,3,3,786,14.31
hist_med,solo,1,4,3,4,4,4,681,11.2
hist_med,solo,2,4,2,4,3,3,730,13.22
hist_hard,solo,0,4,2,4,3,3,866,12.63
hist_hard,solo,1,4,2,4,3,3,740,9.42
hist_hard,solo,2,4,2,4,3,3,819,15.23
eng_easy,solo,0,5,5,5,5,5,366,6.02
eng_easy,solo,1,5,5,5,5,5,335,5.14
eng_med,solo,0,4,2,4,3,3,946,23.13
eng_med,solo,1,4,2,4,3,3,755,11.79
eng_med,solo,2,4,2,4,3,3,863,18.32
eng_hard,solo,0,4,3,4,4,4,792,12.33
eng_hard,solo,1,4,3,4,4,4,665,11.78
eng_hard,solo,2,4,2,4,3,3,781,11.82
biz_easy,solo,0,5,3,5,4,4,612,14.31
biz_easy,solo,1,5,3,5,4,4,637,11.35
biz_easy,solo,2,5,3,5,4,4,646,14.39
biz_med,solo,0,4,3,4,4,4,638,12.83
biz_med,solo,1,4,3,4,4,4,647,11.08
biz_med,solo,2,4,3,4,4,4,684,16.16
biz_hard,solo,0,4,2,4,3,3,799,18.54
biz_hard,solo,1,4,2,4,3,3,871,19.07
biz_hard,solo,2,4,2,4,3,3,928,17.79
sci_easy,swm3,0,4,4,5,4,4,372,6.32
sci_easy,swm3,1,5,5,5,5,5,454,6.64
sci_easy,swm3,2,5,5,5,5,5,504,6.95
sci_med,swm3,0,4,2,3,3,3,4985,22.38
sci_med,swm3,1,5,3,4,4,4,4319,21.11
sci_med,swm3,2,5,3,4,4,4,5621,18.22
sci_hard,swm3,0,3,2,3,2,2,3790,12.68
sci_hard,swm3,1,3,2,3,2,2,1069,14.7
sci_hard,swm3,2,3,2,3,3,3,976,12.47
cs_easy,swm3,0,5,4,5,5,5,783,10.1
cs_easy,swm3,1,5,4,5,5,5,775,15.07
cs_easy,swm3,2,5,4,5,5,5,679,8.1
cs_med,swm3,0,5,4,4,4,4,9231,28.13
cs_med,swm3,1,4,2,4,3,3,1032,16.7
cs_med,swm3,2,5,3,5,4,4,937,13.46
cs_hard,swm3,0,4,2,4,3,3,1188,20.28
cs_hard,swm3,1,4,3,4,3,3,6847,21.79
cs_hard,swm3,2,4,2,4,3,3,1230,16.93
hist_easy,swm3,0,5,5,5,5,5,490,8.33
hist_easy,swm3,1,5,5,5,5,5,433,5.11
hist_easy,swm3,2,5,5,5,5,5,451,4.53
hist_med,swm3,0,4,2,3,2,2,5560,22.33
hist_med,swm3,1,4,2,4,3,3,878,10.08
hist_med,swm3,2,4,2,4,3,3,3427,28.42
hist_hard,swm3,0,4,2,4,3,3,1091,16.29
hist_hard,swm3,1,4,2,4,3,3,1993,19.25
hist_hard,swm3,2,4,2,4,3,3,1041,16.57
eng_easy,swm3,0,5,5,4,5,5,4156,13.78
eng_easy,swm3,1,5,5,5,5,5,506,6.84
eng_easy,swm3,2,5,5,5,5,5,8106,40.43
eng_med,swm3,0,4,3,4,3,3,10504,40.97
eng_med,swm3,1,4,2,4,3,3,3826,22.76
eng_med,swm3,2,4,2,3,3,3,8640,26.14
eng_hard,swm3,0,4,2,4,3,3,4357,22.94
eng_hard,swm3,1,4,3,4,4,4,8436,46.65
eng_hard,swm3,2,4,2,4,3,3,3768,14.28
biz_easy,swm3,0,5,3,5,4,4,853,12.83
biz_easy,swm3,1,5,3,5,4,4,785,11.76
biz_easy,swm3,2,5,3,5,4,4,901,13.33
biz_med,swm3,0,4,2,4,3,3,956,13.98
biz_med,swm3,1,4,2,2,3,2,8022,27.21
biz_med,swm3,2,4,2,4,3,3,994,20.1
biz_hard,swm3,0,4,2,4,3,3,1101,16.69
biz_hard,swm3,1,4,2,4,3,3,1102,15.04
biz_hard,swm3,2,4,2,4,3,3,1038,17.2
sci_easy,refl2,0,5,4,5,5,5,3053,24.17
sci_easy,refl2,1,5,3,3,4,3,2925,21.59
sci_easy,refl2,2,5,4,5,4,4,4081,32.78
