task_id,pattern,repeat_index,accuracy,completeness,coherence,usefulness,overall,total_tokens,duration_sec
sci_easy,solo,0,5,5,5,5,5,369,9.93
sci_med,solo,0,5,3,5,4,4,955,15.85
sci_hard,solo,0,4,2,4,3,3,3661,64.35
cs_easy,solo,0,5,4,5,5,5,627,8.96
cs_med,solo,0,5,3,5,4,4,1213,19.53
cs_hard,solo,0,5,2,5,4,3,4549,79.08
hist_easy,solo,0,5,5,5,5,5,194,3.29
hist_med,solo,0,4,2,4,3,3,1599,29.81
hist_hard,solo,0,4,2,4,3,3,2684,64.26
eng_easy,solo,0,5,5,5,5,5,191,4.13
eng_med,solo,0,5,3,5,4,4,1412,27.83
eng_hard,solo,0,4,2,4,3,3,4031,83.46
biz_easy,solo,0,5,4,5,5,5,1214,22.35
biz_med,solo,0,4,2,4,3,3,1324,26.62
biz_hard,solo,0,4,2,4,4,3,4864,98.54
sci_easy,swm3,0,5,5,5,5,5,828,10.21
sci_med,swm3,0,5,2,5,4,3,1285,16.61
sci_hard,swm3,0,4,2,3,3,3,58892,195.28
cs_easy,swm3,0,5,4,5,5,5,1024,11.83
cs_med,swm3,0,5,3,5,4,4,1486,20.99
cs_hard,swm3,0,4,2,4,4,3,116273,337.12
hist_easy,swm3,0,5,5,5,5,5,560,5.1
hist_med,swm3,0,4,2,4,3,3,2001,36.75
hist_hard,swm3,0,4,2,4,3,3,3000,55.04
eng_easy,swm3,0,5,5,5,5,5,582,4.23
eng_med,swm3,0,5,2,4,4,3,33970,124.9
eng_hard,swm3,0,4,2,3,3,3,68987,235.48
biz_easy,swm3,0,5,3,5,4,4,1795,24.58
biz_med,swm3,0,5,3,5,4,4,1499,22.74
biz_hard,swm3,0,4,2,5,4,3,6137,106.24
sci_easy,refl2,0,5,5,5,5,5,977,9.64
sci_med,refl2,0,4,3,5,4,4,2269,21.39
sci_hard,refl2,0,4,2,3,3,3,27352,156.25
cs_easy,refl2,0,5,5,5,5,5,1282,11.93
cs_med,refl2,0,5,4,5,5,5,2827,27.5
cs_hard,refl2,0,5,4,5,5,5,10081,90.72
hist_easy,refl2,0,5,5,5,5,5,594,6.89
hist_med,refl2,0,4,3,4,4,4,2708,31.24
hist_hard,refl2,0,4,2,4,4,3,6087,69.44
eng_easy,refl2,0,5,5,5,5,5,447,4.84
eng_med,refl2,0,5,4,5,5,5,3250,33.86
eng_hard,refl2,0,4,3,4,4,4,8487,92.16
biz_easy,refl2,0,5,4,5,5,5,3441,31.95
biz_med,refl2,0,5,4,5,5,5,1510,16.98
biz_hard,refl2,0,4,3,4,4,4,10671,108.48
sci_easy,sel3,0,5,5,5,5,5,1479,17.58
sci_med,sel3,0,5,2,4,4,3,3127,31.83
sci_hard,sel3,0,4,3,4,4,4,15945,115.0
cs_easy,sel3,0,5,4,4,5,5,2892,29.39
cs_med,sel3,0,4,2,3,3,3,9020,68.67
cs_hard,sel3,0,4,2,4,4,3,25461,161.56
hist_easy,sel3,0,5,5,5,5,5,185,4.01
hist_med,sel3,0,4,2,3,4,3,11177,100.69
hist_hard,sel3,0,4,2,4,3,3,2373,45.27
eng_easy,sel3,0,5,5,5,5,5,576,7.66
eng_med,sel3,0,4,3,4,4,4,9100,71.29
eng_hard,sel3,0,4,2,3,3,3,21204,165.59
biz_easy,sel3,0,5,3,4,4,4,4587,50.12
biz_med,sel3,0,5,3,4,5,4,10330,80.83
biz_hard,sel3,0,4,2,3,3,3,29613,226.52
sci_easy,debate3,0,5,5,4,5,5,3393,28.7
sci_med,debate3,0,4,2,3,3,3,6881,51.95
sci_hard,debate3,0,4,2,3,3,3,28446,172.37
cs_easy,debate3,0,5,3,4,4,4,5704,41.46
cs_med,debate3,0,5,2,4,4,3,10292,71.6
cs_hard,debate3,0,4,2,3,3,3,24238,168.72
hist_easy,debate3,0,5,5,5,5,5,1385,15.21
hist_med,debate3,0,4,3,4,4,4,10681,102.17
hist_hard,debate3,0,4,2,3,3,3,14536,123.52
eng_easy,debate3,0,5,5,5,5,5,639,8.07
eng_med,debate3,0,4,2,3,3,3,12529,100.87
eng_hard,debate3,0,4,2,4,3,3,33611,212.09
biz_easy,debate3,0,4,3,3,4,3,9204,72.53
biz_med,debate3,0,4,2,3,3,3,11841,99.17
biz_hard,debate3,0,4,2,3,3,3,47744,290.42
