task_id,pattern,repeat_index,accuracy,completeness,coherence,usefulness,overall,total_tokens,duration_sec
sci_easy,solo,0,5,4,5,5,5,295,8.64
sci_med,solo,0,5,2,4,4,3,604,12.32
sci_hard,solo,0,3,2,3,3,3,1511,23.48
cs_easy,solo,0,5,4,5,5,5,537,10.85
cs_med,solo,0,5,2,4,3,3,960,14.66
cs_hard,solo,0,4,2,4,3,3,1455,22.38
hist_easy,solo,0,5,5,5,5,5,243,6.57
hist_med,solo,0,4,2,4,3,3,912,16.32
hist_hard,solo,0,4,2,3,2,2,1430,24.47
eng_easy,solo,0,5,5,5,5,5,223,5.68
eng_med,solo,0,4,2,3,3,3,882,14.96
eng_hard,solo,0,4,2,4,3,3,1232,21.56
biz_easy,solo,0,5,3,4,4,4,776,13.25
biz_med,solo,0,4,2,3,3,3,1205,21.17
biz_hard,solo,0,3,2,3,2,2,1799,23.19
sci_easy,swm3,0,5,5,3,5,4,7664,50.81
sci_med,swm3,0,3,2,2,2,2,11681,66.85
sci_hard,swm3,0,3,2,2,2,2,13250,72.68
cs_easy,swm3,0,5,4,3,5,4,9049,57.64
cs_med,swm3,0,4,2,3,3,3,11058,66.3
cs_hard,swm3,0,4,2,3,3,2,14048,74.87
hist_easy,swm3,0,5,5,5,5,5,996,13.72
hist_med,swm3,0,4,2,4,3,3,1897,29.15
hist_hard,swm3,0,4,2,4,3,3,1812,24.81
eng_easy,swm3,0,5,5,3,4,4,6724,78.6
eng_med,swm3,0,4,2,3,3,3,14870,77.96
eng_hard,swm3,0,4,2,3,3,3,15093,96.03
biz_easy,swm3,0,5,3,5,4,4,1440,22.05
biz_med,swm3,0,4,2,4,3,3,2002,27.32
biz_hard,swm3,0,4,2,4,3,3,2259,27.81
sci_easy,refl2,0,5,3,4,4,4,1628,19.38
sci_med,refl2,0,4,2,4,2,2,3018,34.53
sci_hard,refl2,0,3,1,2,2,2,6082,59.92
cs_easy,refl2,0,5,3,5,4,4,1980,22.48
cs_med,refl2,0,4,2,3,3,3,3333,32.58
cs_hard,refl2,0,4,2,4,3,3,4865,38.77
hist_easy,refl2,0,5,4,5,5,5,1124,19.57
hist_med,refl2,0,4,2,3,3,3,4224,40.59
hist_hard,refl2,0,3,1,3,2,2,3645,34.32
eng_easy,refl2,0,5,3,4,4,4,1146,14.64
eng_med,refl2,0,4,2,3,3,3,4688,33.44
eng_hard,refl2,0,4,2,3,3,3,4295,34.9
biz_easy,refl2,0,5,2,5,3,3,3791,29.99
biz_med,refl2,0,4,2,3,3,3,4655,40.07
biz_hard,refl2,0,3,2,2,2,2,5250,39.74
sci_easy,sel3,0,5,3,4,4,4,2670,35.18
sci_med,sel3,0,4,2,3,3,3,3047,38.85
sci_hard,sel3,0,4,2,3,3,3,12901,101.1
cs_easy,sel3,0,4,2,3,3,3,9042,73.13
cs_med,sel3,0,4,2,3,3,3,11298,92.21
cs_hard,sel3,0,4,2,4,3,3,12054,95.7
hist_easy,sel3,0,4,2,3,3,3,3751,56.75
hist_med,sel3,0,3,1,2,2,2,3747,51.02
hist_hard,sel3,0,3,1,2,1,1,1773,36.86
eng_easy,sel3,0,5,3,5,4,4,2351,34.55
eng_med,sel3,0,4,2,4,3,3,4991,60.65
eng_hard,sel3,0,4,2,3,3,3,11982,93.57
biz_easy,sel3,0,4,2,4,3,3,4172,52.24
biz_med,sel3,0,4,2,3,2,2,4562,57.84
biz_hard,sel3,0,3,2,3,2,2,5785,67.41
sci_easy,debate3,0,5,2,3,3,3,33913,173.01
sci_med,debate3,0,3,1,2,1,1,53877,264.38
sci_hard,debate3,0,3,1,2,1,1,57749,235.75
cs_easy,debate3,0,4,2,3,3,3,46808,224.43
cs_med,debate3,0,4,2,3,2,2,38340,213.34
cs_hard,debate3,0,4,1,3,2,2,54824,239.2
hist_easy,debate3,0,3,1,2,2,2,29749,184.01
hist_med,debate3,0,3,1,2,1,1,34246,184.54
hist_hard,debate3,0,3,1,3,1,1,55143,286.96
eng_easy,debate3,0,4,2,3,2,2,43294,214.56
eng_med,debate3,0,3,1,2,1,1,28276,177.6
eng_hard,debate3,0,3,2,3,2,2,31088,169.15
biz_easy,debate3,0,4,2,3,2,2,49178,245.7
biz_med,debate3,0,4,2,3,2,2,42983,206.88
biz_hard,debate3,0,3,2,3,2,2,59453,238.15
